participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
2,easy,14,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,3,False,0.0,1.0,0.25,0.25,0.0,,,,prediction,b,0.0,,,
2,easy,15,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.0,0.5,1.791759469228055,,,,prediction,a,1.0,,,
2,easy,16,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.0,0.39990234375,1.60924258085813,0.0,0.39990234375,1.60924258085813,prediction,a,3.0,,,
2,easy,17,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,3,True,0.0,0.4,0.0,0.4,1.6094379124341003,,,,prediction,a,3.0,,,
2,easy,18,hidden,easy_p_hid_3aa21,3,a,,,2,1,,1,False,0.4,0.0,0.5,0.0,1.791759469228055,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
2,easy,19,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,0.0,,,
2,easy,20,hidden,easy_p_hid_3ba31,3,b,,,3,1,,1,True,0.0,0.6,0.0999755859375,0.125,0.11790511342007047,0.0,0.0,0.0,prediction,a,1.0,,,
3,easy,1,visible,easy_p_vis_3b3a13,3,b,3.0,,1,3,,1,True,0.6,0.0,0.6,0.0,1.9459101490553132,,,,prediction,a,1.0,,,
3,easy,2,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.0,0.416748046875,1.642385232934326,0.0,0.416748046875,1.642385232934326,prediction,a,3.0,,,
3,easy,3,visible,easy_p_vis_3b3b13,3,b,3.0,,1,3,,1,False,0.0,1.0,0.0,1.0,2.3978952727983707,,,,prediction,b,3.0,,,
3,easy,4,visible,easy_p_vis_2a3a03,2,a,3.0,,0,3,,0,True,0.4,0.0,0.4,0.0,1.6094379124341003,,,,prediction,a,0.0,,,
3,easy,5,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,0.0,,,
3,easy,6,hidden,easy_p_hid_3aa21,3,a,,,2,1,,2,True,0.4,0.0,0.39990234375,0.0,1.6092425808581299,0.0,0.0,0.0,prediction,a,2.0,,,
3,easy,7,hidden,easy_p_hid_2ab03,2,a,,,0,3,,3,True,0.0,0.4,0.0,0.416748046875,1.642385232934326,0.0,0.0,0.0,prediction,b,3.0,,,
3,easy,8,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,b,2.0,,,
3,easy,9,visible,easy_p_vis_1a0a20,1,a,0.0,,2,0,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,2.0,,,
3,easy,10,hidden,easy_p_hid_3ba31,3,b,,,3,1,,1,True,0.0,0.6,0.0,0.60009765625,1.946049648253419,0.0,0.60009765625,1.946049648253419,prediction,a,1.0,,,
3,easy,11,hidden,easy_p_hid_2aa31,2,a,,,3,1,,3,False,0.0,0.24,0.0,0.25,1.2527629684953678,0.0,0.0,0.0,prediction,a,1.0,,,
3,easy,12,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.0,0.6,1.9459101490553132,,,,prediction,a,1.0,,,
3,easy,13,hidden,easy_p_hid_0aa10,0,a,,,1,0,,0,True,0.0,0.6,0.0,0.58349609375,1.9220507550900865,0.0,0.58349609375,1.9220507550900865,prediction,a,0.0,,,
3,easy,14,visible,easy_p_vis_0b2b23,0,b,2.0,,2,3,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,b,2.0,,,
3,easy,15,hidden,easy_p_hid_2ab13,2,a,,,1,3,,1,False,0.0,0.4,0.0,0.416748046875,1.642385232934326,0.0,0.0,0.0,prediction,b,3.0,,,
3,easy,16,hidden,easy_p_hid_0ba30,0,b,,,3,0,,0,True,0.4,0.6,0.416748046875,0.58349609375,0.27966552215576057,0.416748046875,0.58349609375,0.27966552215576057,prediction,a,0.0,,,
3,easy,17,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,0,True,0.0,1.0,0.25,0.25,0.0,,,,prediction,b,0.0,,,
3,easy,18,hidden,easy_p_hid_1ba21,1,b,,,2,1,,2,True,1.0,0.0,0.25,0.1500244140625,0.33637458513927415,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
3,easy,19,hidden,easy_p_hid_3ab21,3,a,,,2,1,,2,True,0.4,0.0,0.5498046875,0.1500244140625,0.9551132676228751,0.25,0.25,0.0,prediction,b,2.0,,,
3,easy,20,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,1,False,0.0,0.4,0.0,0.4166666666666667,1.6422277352570913,,,,prediction,a,3.0,,,
4,hard,1,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.333251953125,0.0,1.4661492506759393,0.0,0.0,0.0,prediction,a,3.0,,,
4,hard,2,hidden,hard_p_hid_3ab23,3,a,,,2,3,,2,False,0.0,0.4,0.0,0.333251953125,1.4661492506759393,0.0,0.0,0.0,prediction,b,3.0,,,
4,hard,3,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,0,False,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,b,3.0,,,
4,hard,4,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.6,0.0,1.9459101490553132,,,,prediction,b,2.0,,,
4,hard,5,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,2,True,0.6,0.0,0.6666666666666666,0.0,2.03688192726104,,,,prediction,a,2.0,,,
4,hard,6,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,3,False,0.0,0.4,0.0,0.3333333333333333,1.466337068793427,,,,prediction,a,0.0,,,
4,hard,7,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,3,False,0.4,0.0,0.375,0.0,1.5581446180465497,,,,prediction,b,0.0,,,
4,hard,8,hidden,hard_p_hid_1ba32,1,b,,,3,2,,3,False,0.0,0.24,0.0,0.28564453125,1.3497458556871962,0.0,0.0,0.0,prediction,a,2.0,,,
