condition,fsm,task,beta,sum_log_p,count
hidden_beta,hard,prediction,0.48,-229.28691150141887,15.0
hidden_beta,hard,prediction,0.5,-237.39227537585072,15.0
hidden_beta,hard,prediction,0.52,-245.56120320699128,15.0
hidden_beta,hard,prediction,0.54,-253.78610244417072,15.0
hidden_beta,hard,prediction,0.56,-262.0603589923349,15.0
hidden_beta,hard,prediction,0.58,-270.3782155633267,15.0
hidden_beta,hard,prediction,0.6,-278.7346632119538,15.0
hidden_beta,hard,prediction,0.62,-287.12534519446876,15.0
hidden_beta,hard,prediction,0.64,-295.54647216321143,15.0
hidden_beta,hard,prediction,0.66,-303.9947476628699,15.0
hidden_beta,hard,prediction,0.68,-312.4673028975646,15.0
hidden_beta,hard,prediction,0.7,-320.96163977603794,15.0
hidden_beta,hard,prediction,0.72,-329.4755813016411,15.0
hidden_beta,hard,prediction,0.74,-338.0072284450978,15.0
hidden_beta,hard,prediction,0.76,-346.5549227145958,15.0
hidden_beta,hard,prediction,0.78,-355.11721371505786,15.0
hidden_beta,hard,prediction,0.8,-363.6928310634894,15.0
hidden_beta,hard,prediction,0.82,-372.28066009819065,15.0
hidden_beta,hard,prediction,0.84,-380.8797208853534,15.0
hidden_beta,hard,prediction,0.86,-389.48915008653626,15.0
hidden_beta,hard,prediction,0.88,-398.1081853047301,15.0
hidden_beta,hard,prediction,0.9,-406.73615157518446,15.0
hidden_beta,hard,prediction,0.92,-415.37244971025865,15.0
hidden_beta,hard,prediction,0.94,-424.0165462456589,15.0
hidden_beta,hard,prediction,0.96,-432.66796476886407,15.0
hidden_beta,hard,prediction,0.98,-441.3262784399116,15.0
hidden_beta,hard,prediction,1.0,-449.99110354018546,15.0
hidden_beta,hard,prediction,1.02,-458.6620939075218,15.0
hidden_beta,hard,prediction,1.04,-467.33893613466313,15.0
hidden_beta,hard,prediction,1.06,-476.02134542576994,15.0
hidden_beta,hard,prediction,1.08,-484.70906201937066,15.0
hidden_beta,hard,prediction,1.1,-493.40184809946714,15.0
hidden_beta,hard,prediction,1.12,-502.0994851268628,15.0
hidden_beta,hard,prediction,1.14,-510.8017715324868,15.0
hidden_beta,hard,prediction,1.16,-519.5085207224688,15.0
hidden_beta,hard,prediction,1.18,-528.2195593517167,15.0
hidden_beta,hard,prediction,1.2,-536.934725828677,15.0
hidden_beta,hard,prediction,1.22,-545.653869019554,15.0
hidden_beta,hard,prediction,1.24,-554.3768471240033,15.0
hidden_beta,hard,prediction,1.26,-563.1035266986595,15.0
hidden_beta,hard,prediction,1.28,-571.8337818085134,15.0
hidden_beta,hard,prediction,1.3,-580.5674932879878,15.0
hidden_beta,hard,prediction,1.32,-589.3045480969363,15.0
hidden_beta,hard,prediction,1.34,-598.0448387579104,15.0
hidden_beta,hard,prediction,1.36,-606.7882628652243,15.0
hidden_beta,hard,prediction,1.38,-615.5347226534237,15.0
hidden_beta,hard,prediction,1.4,-624.2841246196299,15.0
hidden_beta,hard,prediction,1.42,-633.0363791904864,15.0
hidden_beta,hard,prediction,1.44,-641.7914004288218,15.0
hidden_beta,hard,prediction,1.46,-650.5491057749967,15.0
hidden_beta,hard,prediction,1.48,-659.3094158153449,15.0
hidden_beta,hard,prediction,1.5,-668.0722540800267,15.0
hidden_beta,hard,prediction,1.52,-676.8375468591098,15.0
hidden_beta,hard,prediction,1.54,-685.6052230385881,15.0
hidden_beta,hard,prediction,1.56,-694.3752139579558,15.0
hidden_beta,hard,prediction,1.58,-703.1474532715708,15.0
hidden_beta,hard,prediction,1.6,-711.92187683848,15.0
hidden_beta,hard,prediction,1.62,-720.6984226051022,15.0
hidden_beta,hard,prediction,1.64,-729.4770305113265,15.0
hidden_beta,hard,prediction,1.66,-738.2576424006445,15.0
hidden_beta,hard,prediction,1.68,-747.0402019320968,15.0
hidden_beta,hard,prediction,1.7,-755.8246545208292,15.0
hidden_beta,hard,prediction,1.72,-764.6109472310173,15.0
hidden_beta,hard,prediction,1.74,-773.3990287572492,15.0
hidden_beta,hard,prediction,1.76,-782.1888493341818,15.0
hidden_beta,hard,prediction,1.78,-790.9803606752143,15.0
hidden_beta,hard,prediction,1.8,-799.7735159338606,15.0
hidden_beta,hard,prediction,1.82,-808.5682696658006,15.0
hidden_beta,hard,prediction,1.84,-817.3645777276514,15.0
hidden_beta,hard,prediction,1.86,-826.1623972988596,15.0
hidden_beta,hard,prediction,1.88,-834.9616867862865,15.0
hidden_beta,hard,prediction,1.9,-843.7624058450685,15.0
hidden_beta,hard,prediction,1.92,-852.564515270326,15.0
hidden_beta,hard,prediction,1.94,-861.3679769646232,15.0
hidden_beta,hard,prediction,1.96,-870.1727539372148,15.0
hidden_beta,hard,prediction,1.98,-878.9788103782519,15.0
hidden_beta,hard,prediction,2.0,-887.7861113254131,15.0
hidden_beta,hard,prediction,2.02,-896.5946228619226,15.0
hidden_beta,hard,prediction,2.04,-905.4043121352507,15.0
hidden_beta,hard,prediction,2.06,-914.2151472546938,15.0
hidden_beta,hard,prediction,2.08,-923.0270970843803,15.0
hidden_beta,hard,prediction,2.1,-931.8401314036662,15.0
hidden_beta,hard,prediction,2.12,-940.65422091275,15.0
hidden_beta,hard,prediction,2.14,-949.4693372375887,15.0
hidden_beta,hard,prediction,2.16,-958.2854524663618,15.0
hidden_beta,hard,prediction,2.18,-967.1025398600096,15.0
hidden_beta,hard,prediction,2.2,-975.9205734930471,15.0
hidden_beta,hard,prediction,2.22,-984.7395278894278,15.0
hidden_beta,hard,prediction,2.24,-993.5593775987312,15.0
hidden_beta,hard,prediction,2.26,-1002.3801004073787,15.0
hidden_beta,hard,prediction,2.28,-1011.2016709462813,15.0
hidden_beta,hard,prediction,2.3,-1020.0240681505452,15.0
hidden_beta,hard,prediction,2.32,-1028.8472686901575,15.0
hidden_beta,hard,prediction,2.34,-1037.6712521809727,15.0
hidden_beta,hard,prediction,2.36,-1046.4959987228915,15.0
hidden_beta,hard,prediction,2.38,-1055.3214861532547,15.0
hidden_beta,hard,prediction,2.4,-1064.1476959659356,15.0
hidden_beta,hard,prediction,2.42,-1072.9746085099434,15.0
hidden_beta,hard,prediction,2.44,-1081.8022049816911,15.0
hidden_beta,hard,prediction,2.46,-1090.630469828145,15.0
hidden_beta,hard,prediction,2.48,-1099.4593803705093,15.0
hidden_beta,hard,prediction,2.5,-1108.288926849372,15.0
hidden_beta,hard,prediction,2.52,-1117.1190869665652,15.0
hidden_beta,hard,prediction,2.54,-1125.9498417888144,15.0
hidden_beta,hard,prediction,2.56,-1134.7811869232496,15.0
hidden_beta,hard,prediction,2.58,-1143.6131024080405,15.0
hidden_beta,hard,prediction,2.6,-1152.445556867612,15.0
hidden_beta,hard,prediction,2.62,-1161.2785672236294,15.0
hidden_beta,hard,prediction,2.64,-1170.1121071356145,15.0
hidden_beta,hard,prediction,2.66,-1178.946142171913,15.0
hidden_beta,hard,prediction,2.68,-1187.7806753364785,15.0
hidden_beta,hard,prediction,2.7,-1196.6156918721426,15.0
hidden_beta,hard,prediction,2.72,-1205.4511928383965,15.0
hidden_beta,hard,prediction,2.74,-1214.2871556518417,15.0
hidden_beta,hard,prediction,2.76,-1223.1235824242892,15.0
hidden_beta,hard,prediction,2.78,-1231.960429444946,15.0
hidden_beta,hard,prediction,2.8,-1240.7977102834457,15.0
hidden_beta,hard,prediction,2.82,-1249.635354499645,15.0
hidden_beta,hard,prediction,2.84,-1258.4734225559337,15.0
hidden_beta,hard,prediction,2.86,-1267.3118451544478,15.0
hidden_beta,hard,prediction,2.88,-1276.150843162553,15.0
hidden_beta,hard,prediction,2.9,-1284.9901262891938,15.0
hidden_beta,hard,prediction,2.92,-1293.8295850465497,15.0
hidden_beta,hard,prediction,2.94,-1302.6696941473667,15.0
hidden_beta,hard,prediction,2.96,-1311.5099042372676,15.0
hidden_beta,hard,prediction,2.98,-1320.3508053043813,15.0
hidden_beta,hard,prediction,3.0,-1329.1916891350236,15.0
hidden_beta,hard,prediction,3.02,-1338.0328730994845,15.0
hidden_beta,hard,prediction,3.04,-1346.8744202484397,15.0
hidden_beta,hard,prediction,3.06,-1355.7170345053698,15.0
hidden_beta,hard,prediction,3.08,-1364.558627395334,15.0
hidden_beta,hard,prediction,3.1,-1373.4005962242327,15.0
hidden_beta,hard,prediction,3.12,-1382.2439811920376,15.0
hidden_beta,hard,prediction,3.14,-1391.0865904830744,15.0
hidden_beta,hard,prediction,3.16,-1399.9301145561415,15.0
hidden_beta,hard,prediction,3.18,-1408.7741339702866,15.0
hidden_beta,hard,prediction,3.2,-1417.619127084511,15.0
hidden_beta,hard,prediction,3.22,-1426.4614160930603,15.0
hidden_beta,hard,prediction,3.24,-1435.3030292667786,15.0
hidden_beta,hard,prediction,3.26,-1444.1506289203635,15.0
hidden_beta,hard,prediction,3.28,-1452.9963408747722,15.0
hidden_beta,hard,prediction,3.3,-1461.8421485152298,15.0
hidden_beta,hard,prediction,3.32,-1470.683196172863,15.0
hidden_beta,hard,prediction,3.34,-1479.5309781218866,15.0
hidden_beta,hard,prediction,3.36,-1488.3758937120601,15.0
hidden_beta,hard,prediction,3.38,-1497.2264166545992,15.0
hidden_beta,hard,prediction,3.4,-1506.0616219804067,15.0
hidden_beta,hard,prediction,3.42,-1514.9127573318212,15.0
hidden_beta,hard,prediction,3.44,-1523.7665968016863,15.0
hidden_beta,hard,prediction,3.46,-1532.6219013373181,15.0
hidden_beta,hard,prediction,3.48,-1541.4597472973132,15.0
hidden_beta,hard,prediction,3.5,-1550.3046968595504,15.0
hidden_beta,hard,prediction,3.52,-1559.188828439886,15.0
hidden_beta,hard,prediction,3.54,-1568.0037428442718,15.0
hidden_beta,hard,prediction,3.56,-1576.8638015109186,15.0
hidden_beta,hard,prediction,3.58,-1585.7031449177325,15.0
hidden_beta,hard,prediction,3.6,-1594.4873623660394,15.0
hidden_beta,hard,prediction,3.62,-1603.3608837474867,15.0
hidden_beta,hard,prediction,3.64,-1612.119149764299,15.0
hidden_beta,hard,prediction,3.66,-1621.115636822349,15.0
hidden_beta,hard,prediction,3.68,-1629.927221454554,15.0
hidden_beta,hard,prediction,3.7,-1638.8459997125958,15.0
hidden_beta,hard,prediction,3.72,-1647.646799975141,15.0
hidden_beta,hard,prediction,3.74,-1656.2391504795653,15.0
hidden_beta,hard,prediction,3.76,-1665.1711594201063,15.0
hidden_beta,hard,prediction,3.78,-1673.8661932177845,15.0
hidden_beta,hard,prediction,3.8,-1683.1585679292643,15.0
hidden_beta,hard,prediction,3.82,-1692.1629711808173,15.0
hidden_beta,hard,prediction,3.84,-1700.457650650104,15.0
hidden_beta,hard,prediction,3.86,-1710.8437243874307,15.0
hidden_beta,hard,prediction,3.88,-1719.0894366349914,15.0
hidden_beta,hard,prediction,3.9,-1727.398985109385,15.0
hidden_beta,hard,prediction,3.92,-1735.7182310361397,15.0
hidden_beta,hard,prediction,3.94,-1743.9689809812694,15.0
hidden_beta,hard,prediction,3.96,-1752.32414022796,15.0
hidden_beta,hard,prediction,3.98,-1762.6260725274396,15.0
hidden_beta_an,hard,prediction,0.0,-103.9720770839918,15.0
hidden_beta_an,hard,prediction,0.02,-102.73326520234522,15.0
hidden_beta_an,hard,prediction,0.04,-102.16881610044936,15.0
hidden_beta_an,hard,prediction,0.06,-102.26459563720391,15.0
hidden_beta_an,hard,prediction,0.08,-102.99795396531177,15.0
hidden_beta_an,hard,prediction,0.1,-104.33896946679458,15.0
hidden_beta_an,hard,prediction,0.12,-106.25198185686341,15.0
hidden_beta_an,hard,prediction,0.14,-108.69725626098108,15.0
hidden_beta_an,hard,prediction,0.16,-111.63262979168286,15.0
hidden_beta_an,hard,prediction,0.18,-115.01502109027719,15.0
hidden_beta_an,hard,prediction,0.2,-118.80172202094985,15.0
hidden_beta_an,hard,prediction,0.22,-122.9514302306128,15.0
hidden_beta_an,hard,prediction,0.24,-127.42501514698353,15.0
hidden_beta_an,hard,prediction,0.26,-132.18603487515455,15.0
hidden_beta_an,hard,prediction,0.28,-137.2010368066947,15.0
hidden_beta_an,hard,prediction,0.3,-142.43968181726387,15.0
hidden_beta_an,hard,prediction,0.32,-147.87473277787615,15.0
hidden_beta_an,hard,prediction,0.34,-153.48194492700725,15.0
hidden_beta_an,hard,prediction,0.36,-159.23989031472934,15.0
hidden_beta_an,hard,prediction,0.38,-165.1297424226461,15.0
hidden_beta_an,hard,prediction,0.4,-171.1350410904226,15.0
hidden_beta_an,hard,prediction,0.42,-177.2414525509222,15.0
hidden_beta_an,hard,prediction,0.44,-183.4365349143904,15.0
hidden_beta_an,hard,prediction,0.46,-189.7095158852627,15.0
hidden_beta_an,hard,prediction,0.48,-196.0510867745939,15.0
hidden_beta_an,hard,prediction,0.5,-202.45321486829766,15.0
hidden_beta_an,hard,prediction,0.52,-208.90897479335104,15.0
hidden_beta_an,hard,prediction,0.54,-215.41239856363717,15.0
hidden_beta_an,hard,prediction,0.56,-221.9583433727028,15.0
hidden_beta_an,hard,prediction,0.58,-228.54237584008513,15.0
hidden_beta_an,hard,prediction,0.6,-235.16067123774084,15.0
hidden_beta_an,hard,prediction,0.62,-241.809926167122,15.0
hidden_beta_an,hard,prediction,0.64,-248.4872831833776,15.0
hidden_beta_an,hard,prediction,0.66,-255.19026594034779,15.0
hidden_beta_an,hard,prediction,0.68,-261.91672353645697,15.0
hidden_beta_an,hard,prediction,0.7,-268.66478286219393,15.0
hidden_beta_an,hard,prediction,0.72,-275.43280787433304,15.0
hidden_beta_an,hard,prediction,0.74,-282.21936484386254,15.0
hidden_beta_an,hard,prediction,0.76,-289.0231927396073,15.0
hidden_beta_an,hard,prediction,0.78,-295.84317801565516,15.0
hidden_beta_an,hard,prediction,0.8,-302.6783331668266,15.0
hidden_beta_an,hard,prediction,0.82,-309.5277785023217,15.0
hidden_beta_an,hard,prediction,0.84,-316.39072666374847,15.0
hidden_beta_an,hard,prediction,0.86,-323.26646948041423,15.0
hidden_beta_an,hard,prediction,0.88,-330.1543668129991,15.0
hidden_beta_an,hard,prediction,0.9,-337.0538370872027,15.0
hidden_beta_an,hard,prediction,0.92,-343.96434926252067,15.0
hidden_beta_an,hard,prediction,0.94,-350.8854160190012,15.0
hidden_beta_an,hard,prediction,0.96,-357.816587976819,15.0
hidden_beta_an,hard,prediction,0.98,-364.7574487915064,15.0
hidden_beta_an,hard,prediction,1.0,-371.7076109907367,15.0
hidden_beta_an,hard,prediction,1.02,-378.6667124395532,15.0
hidden_beta_an,hard,prediction,1.04,-385.6344133368389,15.0
hidden_beta_an,hard,prediction,1.06,-392.6103936621392,15.0
hidden_beta_an,hard,prediction,1.08,-399.59435100267626,15.0
hidden_beta_an,hard,prediction,1.1,-406.58599870216807,15.0
hidden_beta_an,hard,prediction,1.12,-413.5850642817675,15.0
hidden_beta_an,hard,prediction,1.14,-420.59128809049537,15.0
hidden_beta_an,hard,prediction,1.16,-427.6044221499699,15.0
hidden_beta_an,hard,prediction,1.18,-434.6242291630402,15.0
hidden_beta_an,hard,prediction,1.2,-441.6504816603636,15.0
hidden_beta_an,hard,prediction,1.22,-448.68296126485257,15.0
hidden_beta_an,hard,prediction,1.24,-455.72145805346025,15.0
hidden_beta_an,hard,prediction,1.26,-462.76577000257214,15.0
hidden_beta_an,hard,prediction,1.28,-469.8157025036603,15.0
hidden_beta_an,hard,prediction,1.3,-476.8710679387744,15.0
hidden_beta_an,hard,prediction,1.32,-483.9316853046171,15.0
hidden_beta_an,hard,prediction,1.34,-490.99737987848715,15.0
hidden_beta_an,hard,prediction,1.36,-498.0679829234984,15.0
hidden_beta_an,hard,prediction,1.38,-505.14333141876756,15.0
hidden_beta_an,hard,prediction,1.4,-512.2232678184499,15.0
hidden_beta_an,hard,prediction,1.42,-519.3076398310077,15.0
hidden_beta_an,hard,prediction,1.44,-526.3963002167895,15.0
hidden_beta_an,hard,prediction,1.46,-533.4891066039211,15.0
hidden_beta_an,hard,prediction,1.48,-540.5859213091536,15.0
hidden_beta_an,hard,prediction,1.5,-547.6866111856576,15.0
hidden_beta_an,hard,prediction,1.52,-554.7910474615882,15.0
hidden_beta_an,hard,prediction,1.54,-561.8991055960634,15.0
hidden_beta_an,hard,prediction,1.56,-569.0106651568027,15.0
hidden_beta_an,hard,prediction,1.58,-576.1256096651523,15.0
hidden_beta_an,hard,prediction,1.6,-583.2438265043496,15.0
hidden_beta_an,hard,prediction,1.62,-590.3652067658147,15.0
hidden_beta_an,hard,prediction,1.64,-597.4896451563257,15.0
hidden_beta_an,hard,prediction,1.66,-604.617039881531,15.0
hidden_beta_an,hard,prediction,1.68,-611.7472925243521,15.0
hidden_beta_an,hard,prediction,1.7,-618.8803080003248,15.0
hidden_beta_an,hard,prediction,1.72,-626.0159943267699,15.0
hidden_beta_an,hard,prediction,1.74,-633.1542626923203,15.0
hidden_beta_an,hard,prediction,1.76,-640.2950272521199,15.0
hidden_beta_an,hard,prediction,1.78,-647.4382050269713,15.0
hidden_beta_an,hard,prediction,1.8,-654.5837158735015,15.0
hidden_beta_an,hard,prediction,1.82,-661.7314824182705,15.0
hidden_beta_an,hard,prediction,1.84,-668.8814298100424,15.0
hidden_beta_an,hard,prediction,1.86,-676.0334858331112,15.0
hidden_beta_an,hard,prediction,1.88,-683.1875806838373,15.0
hidden_beta_an,hard,prediction,1.9,-690.3436471117614,15.0
hidden_beta_an,hard,prediction,1.92,-697.5016200331003,15.0
hidden_beta_an,hard,prediction,1.94,-704.6614365693595,15.0
hidden_beta_an,hard,prediction,1.96,-711.823035977697,15.0
hidden_beta_an,hard,prediction,1.98,-718.9863600938801,15.0
hidden_beta_an,hard,prediction,2.0,-726.1513520911523,15.0
hidden_beta_an,hard,prediction,2.02,-733.3179572528861,15.0
hidden_beta_an,hard,prediction,2.04,-740.4861232065554,15.0
hidden_beta_an,hard,prediction,2.06,-747.655799335826,15.0
hidden_beta_an,hard,prediction,2.08,-754.8269362959194,15.0
hidden_beta_an,hard,prediction,2.1,-761.9994866717574,15.0
hidden_beta_an,hard,prediction,2.12,-769.17340486505,15.0
hidden_beta_an,hard,prediction,2.14,-776.348646942108,15.0
hidden_beta_an,hard,prediction,2.16,-783.5251697945397,15.0
hidden_beta_an,hard,prediction,2.18,-790.7029324679031,15.0
hidden_beta_an,hard,prediction,2.2,-797.8818966253829,15.0
hidden_beta_an,hard,prediction,2.22,-805.062023512323,15.0
hidden_beta_an,hard,prediction,2.24,-812.2432729377866,15.0
hidden_beta_an,hard,prediction,2.26,-819.4256167436723,15.0
hidden_beta_an,hard,prediction,2.28,-826.6090118268984,15.0
hidden_beta_an,hard,prediction,2.3,-833.7934314274316,15.0
hidden_beta_an,hard,prediction,2.32,-840.9788388468118,15.0
hidden_beta_an,hard,prediction,2.34,-848.1652068446249,15.0
hidden_beta_an,hard,prediction,2.36,-855.3525086029239,15.0
hidden_beta_an,hard,prediction,2.38,-862.54070803473,15.0
hidden_beta_an,hard,prediction,2.4,-869.7297823224951,15.0
hidden_beta_an,hard,prediction,2.42,-876.9197020452567,15.0
hidden_beta_an,hard,prediction,2.44,-884.1104391423999,15.0
hidden_beta_an,hard,prediction,2.46,-891.3019797684582,15.0
hidden_beta_an,hard,prediction,2.48,-898.4942815798258,15.0
hidden_beta_an,hard,prediction,2.5,-905.6873428828376,15.0
hidden_beta_an,hard,prediction,2.52,-912.8811285609169,15.0
hidden_beta_an,hard,prediction,2.54,-920.0755958989415,15.0
hidden_beta_an,hard,prediction,2.56,-927.2707799267089,15.0
hidden_beta_an,hard,prediction,2.58,-934.4666303579639,15.0
hidden_beta_an,hard,prediction,2.6,-941.663067091176,15.0
hidden_beta_an,hard,prediction,2.62,-948.860194610653,15.0
hidden_beta_an,hard,prediction,2.64,-956.057953427935,15.0
hidden_beta_an,hard,prediction,2.66,-963.256223967289,15.0
hidden_beta_an,hard,prediction,2.68,-970.4550764562346,15.0
hidden_beta_an,hard,prediction,2.7,-977.6544716214843,15.0
hidden_beta_an,hard,prediction,2.72,-984.854448915807,15.0
hidden_beta_an,hard,prediction,2.74,-992.0549731906048,15.0
hidden_beta_an,hard,prediction,2.76,-999.2560467999166,15.0
hidden_beta_an,hard,prediction,2.78,-1006.4575351367591,15.0
hidden_beta_an,hard,prediction,2.8,-1013.6595814101759,15.0
hidden_beta_an,hard,prediction,2.82,-1020.8618644481631,15.0
hidden_beta_an,hard,prediction,2.84,-1028.0646455150318,15.0
hidden_beta_an,hard,prediction,2.86,-1035.2677580158324,15.0
hidden_beta_an,hard,prediction,2.88,-1042.472070167203,15.0
hidden_beta_an,hard,prediction,2.9,-1049.6763885086202,15.0
hidden_beta_an,hard,prediction,2.92,-1056.8803983142136,15.0
hidden_beta_an,hard,prediction,2.94,-1064.0860239890105,15.0
hidden_beta_an,hard,prediction,2.96,-1071.290902921416,15.0
hidden_beta_an,hard,prediction,2.98,-1078.4976733242609,15.0
hidden_beta_an,hard,prediction,3.0,-1085.7034790956723,15.0
hidden_beta_an,hard,prediction,3.02,-1092.909513874005,15.0
hidden_beta_an,hard,prediction,3.04,-1100.115952452461,15.0
hidden_beta_an,hard,prediction,3.06,-1107.3260049549226,15.0
hidden_beta_an,hard,prediction,3.08,-1114.530837910369,15.0
hidden_beta_an,hard,prediction,3.1,-1121.7366864591127,15.0
hidden_beta_an,hard,prediction,3.12,-1128.9473906595156,15.0
hidden_beta_an,hard,prediction,3.14,-1136.153543575626,15.0
hidden_beta_an,hard,prediction,3.16,-1143.3627591567974,15.0
hidden_beta_an,hard,prediction,3.18,-1150.5740810789912,15.0
hidden_beta_an,hard,prediction,3.2,-1157.7873556205163,15.0
hidden_beta_an,hard,prediction,3.22,-1164.9896806685954,15.0
hidden_beta_an,hard,prediction,3.24,-1172.1891858638428,15.0
hidden_beta_an,hard,prediction,3.26,-1179.4109949077538,15.0
hidden_beta_an,hard,prediction,3.28,-1186.6250959530025,15.0
hidden_beta_an,hard,prediction,3.3,-1193.8384904892096,15.0
hidden_beta_an,hard,prediction,3.32,-1201.0311775513303,15.0
hidden_beta_an,hard,prediction,3.34,-1208.252918394588,15.0
hidden_beta_an,hard,prediction,3.36,-1215.4628238350615,15.0
hidden_beta_an,hard,prediction,3.38,-1222.6942405313737,15.0
hidden_beta_an,hard,prediction,3.4,-1229.8600279643374,15.0
hidden_beta_an,hard,prediction,3.42,-1237.0903200473772,15.0
hidden_beta_an,hard,prediction,3.44,-1244.3306585061632,15.0
hidden_beta_an,hard,prediction,3.46,-1251.5812918866511,15.0
hidden_beta_an,hard,prediction,3.48,-1258.7485952665534,15.0
hidden_beta_an,hard,prediction,3.5,-1265.9564365215426,15.0
hidden_beta_an,hard,prediction,3.52,-1273.3150679009896,15.0
hidden_beta_an,hard,prediction,3.54,-1280.3995049797063,15.0
hidden_beta_an,hard,prediction,3.56,-1287.668025375143,15.0
hidden_beta_an,hard,prediction,3.58,-1294.8523750706102,15.0
hidden_beta_an,hard,prediction,3.6,-1301.8037818424705,15.0
hidden_beta_an,hard,prediction,3.62,-1309.1270491492994,15.0
hidden_beta_an,hard,prediction,3.64,-1315.9774587316308,15.0
hidden_beta_an,hard,prediction,3.66,-1323.7826779384536,15.0
hidden_beta_an,hard,prediction,3.68,-1330.8456136846278,15.0
hidden_beta_an,hard,prediction,3.7,-1338.3467024571642,15.0
hidden_beta_an,hard,prediction,3.72,-1345.3438349126552,15.0
hidden_beta_an,hard,prediction,3.74,-1351.4938130414891,15.0
hidden_beta_an,hard,prediction,3.76,-1359.150641326158,15.0
hidden_beta_an,hard,prediction,3.78,-1365.7507742862788,15.0
hidden_beta_an,hard,prediction,3.8,-1374.789742994667,15.0
hidden_beta_an,hard,prediction,3.82,-1382.5057086033298,15.0
hidden_beta_an,hard,prediction,3.84,-1387.4998012894523,15.0
hidden_beta_an,hard,prediction,3.86,-1400.8050534333624,15.0
hidden_beta_an,hard,prediction,3.88,-1405.7840646981938,15.0
hidden_beta_an,hard,prediction,3.9,-1410.791440306111,15.0
hidden_beta_an,hard,prediction,3.92,-1415.8107522732012,15.0
hidden_beta_an,hard,prediction,3.94,-1420.7699270496598,15.0
hidden_beta_an,hard,prediction,3.96,-1425.799021109703,15.0
hidden_beta_an,hard,prediction,3.98,-1439.093744765938,15.0
visible_beta,easy,explanation,0.0,-103.9720770839918,15.0
visible_beta,easy,explanation,0.02,-102.22444119687442,15.0
visible_beta,easy,explanation,0.04,-101.43323619130305,15.0
visible_beta,easy,explanation,0.06,-101.57879908959421,15.0
visible_beta,easy,explanation,0.08,-102.62956447911375,15.0
visible_beta,easy,explanation,0.1,-104.5437258864097,15.0
visible_beta,easy,explanation,0.12,-107.27129594360693,15.0
visible_beta,easy,explanation,0.14,-110.7563608109278,15.0
visible_beta,easy,explanation,0.16,-114.93933368637656,15.0
visible_beta,easy,explanation,0.18,-119.75904643770903,15.0
visible_beta,easy,explanation,0.2,-125.15456625502743,15.0
visible_beta,easy,explanation,0.22,-131.06667467820265,15.0
visible_beta,easy,explanation,0.24,-137.43899101762366,15.0
visible_beta,easy,explanation,0.26,-144.21875635494152,15.0
visible_beta,easy,explanation,0.28,-151.35731665861624,15.0
visible_beta,easy,explanation,0.3,-158.81035513833353,15.0
visible_beta,easy,explanation,0.32,-166.53792710813983,15.0
visible_beta,easy,explanation,0.34,-174.50434798113005,15.0
visible_beta,easy,explanation,0.36,-182.67797898085348,15.0
visible_beta,easy,explanation,0.38,-191.03094760574845,15.0
visible_beta,easy,explanation,0.4,-199.53883212496604,15.0
visible_beta,easy,explanation,0.42,-208.18033221043993,15.0
visible_beta,easy,explanation,0.44,-216.93694162419752,15.0
visible_beta,easy,explanation,0.46,-225.79263381650807,15.0
visible_beta,easy,explanation,0.48,-234.73356731880386,15.0
visible_beta,easy,explanation,0.5,-243.74781481606746,15.0
visible_beta,easy,explanation,0.52,-252.8251176006047,15.0
visible_beta,easy,explanation,0.54,-261.9566655823467,15.0
visible_beta,easy,explanation,0.56,-271.1349020126061,15.0
visible_beta,easy,explanation,0.58,-280.35335144209444,15.0
visible_beta,easy,explanation,0.6,-289.60646907659816,15.0
visible_beta,easy,explanation,0.62,-298.8895095334399,15.0
visible_beta,easy,explanation,0.64,-308.1984129762474,15.0
visible_beta,easy,explanation,0.66,-317.5297066680334,15.0
visible_beta,easy,explanation,0.68,-326.88042009912203,15.0
visible_beta,easy,explanation,0.7,-336.24801199293125,15.0
visible_beta,easy,explanation,0.72,-345.6303076522925,15.0
visible_beta,easy,explanation,0.74,-355.02544527064276,15.0
visible_beta,easy,explanation,0.76,-364.43182998887596,15.0
visible_beta,easy,explanation,0.78,-373.8480946254811,15.0
visible_beta,easy,explanation,0.8,-383.27306614261266,15.0
visible_beta,easy,explanation,0.82,-392.70573703271936,15.0
visible_beta,easy,explanation,0.84,-402.14524091945924,15.0
visible_beta,easy,explanation,0.86,-411.59083176307286,15.0
visible_beta,easy,explanation,0.88,-421.04186614521865,15.0
visible_beta,easy,explanation,0.9,-430.4977881822006,15.0
visible_beta,easy,explanation,0.92,-439.9581166799825,15.0
visible_beta,easy,explanation,0.94,-449.42243419981014,15.0
visible_beta,easy,explanation,0.96,-458.89037775156174,15.0
visible_beta,easy,explanation,0.98,-468.36163087308205,15.0
visible_beta,easy,explanation,1.0,-477.83591688916715,15.0
visible_beta,easy,explanation,1.02,-487.31299317462356,15.0
visible_beta,easy,explanation,1.04,-496.7926462712344,15.0
visible_beta,easy,explanation,1.06,-506.27468773142925,15.0
visible_beta,easy,explanation,1.08,-515.7589505796352,15.0
visible_beta,easy,explanation,1.1,-525.2452862992963,15.0
visible_beta,easy,explanation,1.12,-534.7335622664723,15.0
visible_beta,easy,explanation,1.14,-544.2236595634706,15.0
visible_beta,easy,explanation,1.16,-553.7154711156476,15.0
visible_beta,easy,explanation,1.18,-563.2089001026704,15.0
