participant_id,task,condition,predicted_accuracy,fsm,mm_accuracy,count_nan
34,explanation,hidden,0.7685247834990176,easy,0.7,0.0
34,explanation,hidden_an,0.7685247834990176,easy,0.7,0.0
35,control,visible,0.598687660112452,hard,0.6,0.0
35,control,hidden,0.7685247834990176,hard,0.7,0.0
35,control,hidden_an,0.6899744811276124,hard,0.75,2.0
36,control,visible,0.7685247834990176,hard,0.6,0.0
36,control,hidden,0.6899744811276124,hard,0.5,0.0
36,control,hidden_an,0.8320183851339245,hard,0.5,2.0
37,control,visible,0.8320183851339245,hard,0.7,0.0
37,control,hidden,0.5,hard,0.4,0.0
37,control,hidden_an,0.5,hard,0.375,2.0
38,control,visible,0.598687660112452,hard,0.6,0.0
38,control,hidden,0.5,hard,0.5,0.0
38,control,hidden_an,0.598687660112452,hard,0.5,2.0
39,control,visible,0.7685247834990176,easy,0.8,0.0
39,control,hidden,0.598687660112452,easy,0.6,0.0
39,control,hidden_an,0.598687660112452,easy,0.5,0.0
40,control,visible,0.598687660112452,easy,0.6,0.0
40,control,hidden,0.6899744811276124,easy,0.7,0.0
40,control,hidden_an,0.598687660112452,easy,0.6,0.0
41,control,visible,0.6899744811276124,easy,0.7,0.0
41,control,hidden,0.5,easy,0.5,0.0
41,control,hidden_an,0.5,easy,0.4,0.0
42,explanation,visible,0.7685247834990176,easy,0.7,0.0
42,explanation,hidden,0.5,easy,0.5,0.0
42,explanation,hidden_an,0.5,easy,0.3,0.0
43,explanation,visible,0.7685247834990176,easy,0.7,0.0
43,explanation,hidden,0.9820137900379085,easy,0.9,0.0
43,explanation,hidden_an,0.9820137900379085,easy,0.7,0.0
44,explanation,visible,0.598687660112452,easy,0.6,0.0
44,explanation,hidden,0.5,easy,0.5,0.0
44,explanation,hidden_an,0.5,easy,0.3,0.0
45,explanation,visible,0.6899744811276124,easy,0.7,0.0
45,explanation,hidden,0.5,easy,0.5,0.0
45,explanation,hidden_an,0.5,easy,0.5,0.0
46,explanation,visible,0.598687660112452,easy,0.6,0.0
46,explanation,hidden,0.598687660112452,easy,0.6,0.0
46,explanation,hidden_an,0.598687660112452,easy,0.6,0.0
47,explanation,visible,0.5,easy,0.4,0.0
47,explanation,hidden,0.9168273035060777,easy,0.9,0.0
47,explanation,hidden_an,0.8320183851339245,easy,0.7,0.0
48,explanation,visible,0.5,easy,0.5,0.0
48,explanation,hidden,0.7685247834990176,easy,0.7,0.0
48,explanation,hidden_an,0.8320183851339245,easy,0.8,0.0
50,explanation,visible,0.6899744811276124,easy,0.7,0.0
50,explanation,hidden,0.7685247834990176,easy,0.7,0.0
50,explanation,hidden_an,0.8807970779778824,easy,0.7,0.0
51,explanation,visible,0.5,easy,0.5,0.0
51,explanation,hidden,0.598687660112452,easy,0.6,0.0
51,explanation,hidden_an,0.598687660112452,easy,0.6,0.0
52,explanation,visible,0.5,hard,0.4,0.0
52,explanation,hidden,0.5,hard,0.4,0.0
52,explanation,hidden_an,0.598687660112452,hard,0.5,0.0
53,explanation,visible,0.5,hard,0.5,0.0
53,explanation,hidden,0.5,hard,0.3,0.0
53,explanation,hidden_an,0.5,hard,0.4,0.0
54,explanation,visible,0.5,hard,0.5,0.0
54,explanation,hidden,0.5,hard,0.4,0.0
54,explanation,hidden_an,0.5,hard,0.7,0.0
55,explanation,visible,0.9426758241011312,hard,0.7,0.0
55,explanation,hidden,0.5,hard,0.3,0.0
55,explanation,hidden_an,0.5,hard,0.1111111111111111,1.0
56,explanation,visible,0.9426758241011312,hard,0.8,0.0
56,explanation,hidden,0.598687660112452,hard,0.6,0.0
56,explanation,hidden_an,0.5,hard,0.4,0.0
57,explanation,visible,0.598687660112452,hard,0.6,0.0
57,explanation,hidden,0.5,hard,0.5,0.0
57,explanation,hidden_an,0.5,hard,0.6,0.0
58,explanation,visible,0.5,hard,0.5,0.0
58,explanation,hidden,0.5,hard,0.5,0.0
58,explanation,hidden_an,0.7685247834990176,hard,0.7,0.0
59,explanation,visible,0.9426758241011312,hard,0.8,0.0
59,explanation,hidden,0.8320183851339245,hard,0.7,0.0
59,explanation,hidden_an,0.7685247834990176,hard,0.8,0.0
60,explanation,visible,0.5,hard,0.4,0.0
60,explanation,hidden,0.5,hard,0.4,0.0
60,explanation,hidden_an,0.6899744811276124,hard,0.5,0.0
61,explanation,visible,0.5,hard,0.5,0.0
