participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
15,hard,19,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.2896205357142857,0.028137327416173575,1.112070720873901,1.0,0.4642857142857143,0.019230769230769232,1.5544998563880985,1.0,explanation,b,,0.24,0.6,2.0
16,hard,0,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.24375000000000002,0.023674242424242424,1.02226361742252,1.0,,,,,explanation,b,,0.0,0.24,2.0
16,hard,1,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.3551136363636364,0.03125,1.2434432365465657,1.0,,,,,explanation,b,,0.0,0.36,2.0
16,hard,2,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.0625,0.21306818181818182,0.655742998333062,0.0,,,,,explanation,a,,0.24,0.0,1.0
16,hard,3,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,1,True,,,0.017361111111111112,0.36830357142857145,1.3838611411941846,1.0,,,,,explanation,a,,0.36,0.0,1.0
16,hard,4,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,2,False,,,0.024553571428571428,0.2604166666666667,1.0625248536235623,0.0,,,,,explanation,b,,0.36,0.0,1.0
16,hard,5,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.4115800865800866,0.06076388888888889,1.157567385201264,1.0,0.5892857142857143,0.041666666666666664,1.582178984461466,1.0,explanation,b,,0.24,0.6,2.0
16,hard,6,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,1,True,,,0.013392857142857142,0.3125,1.2913778046231474,1.0,,,,,explanation,a,,0.4,0.0,1.0
16,hard,7,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,2,True,,,0.7326388888888888,0.23602912239275875,0.907402211444384,1.0,0.875,0.025,2.0541237336955462,1.0,explanation,a,,0.24,0.6,2.0
16,hard,8,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.27901785714285715,0.07113997113997114,0.7951015540885401,0.0,0.4166666666666667,0.08333333333333333,1.0360919316867758,0.0,explanation,a,,-0.16,0.24,2.0
16,hard,9,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,1,False,,,0.1446969696969697,0.07481060606060605,0.336317449839695,0.0,0.025,0.041666666666666664,0.12516314295400605,1.0,explanation,b,,-0.24,0.16,2.0
16,hard,10,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.017045454545454544,0.0625,0.32811564203027144,0.0,,,,,explanation,b,,0.4,0.0,1.0
16,hard,11,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,1,False,,,0.0625,0.017045454545454544,0.32811564203027155,0.0,,,,,explanation,a,,0.0,0.4,2.0
16,hard,12,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,2,False,,,0.06076388888888889,0.4115800865800866,1.157567385201264,0.0,0.041666666666666664,0.5892857142857143,1.582178984461466,0.0,explanation,a,,0.36,0.0,1.0
16,hard,13,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.09159451659451659,0.3474702380952381,0.8482287823527743,0.0,0.08333333333333333,0.08333333333333333,0.0,,explanation,b,,0.24,0.0,1.0
16,hard,14,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,2,False,,,0.07481060606060605,0.1446969696969697,0.33631744983969514,0.0,0.041666666666666664,0.025,0.125163142954006,1.0,explanation,a,,0.4,0.0,1.0
16,hard,15,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.2048611111111111,0.2255256648113791,0.0655850063998599,0.0,0.08333333333333333,0.017857142857142856,0.4418327522790394,1.0,explanation,a,,0.24,0.0,1.0
16,hard,16,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,1,False,,,0.2897727272727273,0.0625,0.8748858169060325,0.0,,,,,explanation,b,,0.0,0.4,2.0
16,hard,17,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,2,True,,,0.65625,0.014204545454545456,1.8903809103360358,1.0,,,,,explanation,a,,0.0,0.6,2.0
16,hard,18,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,1,False,,,0.1076388888888889,0.05256132756132756,0.30823379665199113,0.0,0.08333333333333333,0.022727272727272728,0.4013413909243023,0.0,explanation,a,,0.0,0.4,2.0
16,hard,19,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,2,False,,,0.08484848484848485,0.2989583333333333,0.7693204950059785,0.0,0.025,0.08333333333333333,0.38299225225610584,0.0,explanation,b,,0.64,0.24,1.0
17,hard,1,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.04278564453125,0.338623046875,1.12229586469839,0.0,0.02777099609375,0.361083984375,1.283340636528076,0.0,prediction,a,0.0,,,
17,hard,2,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,3,False,0.0,0.6,0.0625,0.3125,0.9315582040049434,0.0,,,,,prediction,a,1.0,,,
17,hard,3,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,0,False,0.6,0.0,0.3125,0.0625,0.9315582040049435,0.0,,,,,prediction,b,1.0,,,
17,hard,4,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,2,True,0.6,0.0,0.5833333333333334,0.027777777777777776,1.6766901394432678,1.0,,,,,prediction,a,2.0,,,
17,hard,5,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.055877685546875,0.321533203125,0.9948269153631917,0.0,0.0208282470703125,0.0208282470703125,0.0,,prediction,a,3.0,,,
17,hard,6,hidden,hard_p_hid_3ab23,3,a,,,2,3,,3,True,0.0,0.4,0.053070068359375,0.351318359375,1.0812772074009755,1.0,0.03125,0.03125,0.0,,prediction,b,3.0,,,
17,hard,7,hidden,hard_p_hid_1ba32,1,b,,,3,2,,2,True,0.0,0.24,0.089599609375,0.409423828125,0.988365808736302,1.0,0.02777099609375,0.58349609375,1.6769813725144918,1.0,prediction,a,2.0,,,
17,hard,8,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,2,True,0.0,1.0,0.020833333333333332,0.9375,2.1501570664782337,1.0,,,,,prediction,a,2.0,,,
17,hard,9,hidden,hard_p_hid_2ab12,2,a,,,1,2,,1,True,0.6,0.0,0.50634765625,0.042938232421875,1.445040915912824,1.0,0.53125,0.03125,1.5705980791178364,1.0,prediction,b,1.0,,,
17,hard,10,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,3,False,0.4,0.0,0.40625,0.03125,1.3499267169490157,0.0,,,,,prediction,b,0.0,,,
17,hard,11,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,0,False,1.0,0.0,0.85,0.05,1.8458266904983305,0.0,,,,,prediction,a,3.0,,,
17,hard,12,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,3,False,0.0,0.4,0.027777777777777776,0.3611111111111111,1.2833463918674484,0.0,,,,,prediction,a,0.0,,,
17,hard,13,hidden,hard_p_hid_1ba30,1,b,,,3,0,,3,False,0.0,0.4,0.089599609375,0.38330078125,0.935724665780164,0.0,0.02777099609375,0.361083984375,1.283340636528076,0.0,prediction,a,0.0,,,
17,hard,14,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.50048828125,0.1427001953125,0.9059162088612152,0.0,0.85009765625,0.04998779296875,1.8460108647876923,0.0,prediction,a,3.0,,,
17,hard,15,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,3,True,0.4,0.0,0.375,0.041666666666666664,1.209837923778334,1.0,,,,,prediction,b,3.0,,,
17,hard,16,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.2042236328125,0.65673828125,0.9112543969409732,0.0,0.3125,0.5625,0.4737843520856416,0.0,prediction,b,3.0,,,
17,hard,17,hidden,hard_p_hid_2aa23,2,a,,,2,3,,3,False,1.0,0.0,0.8935546875,0.03912353515625,1.965926825206811,0.0,0.9375,0.0208282470703125,2.1501991605753847,0.0,prediction,a,2.0,,,
17,hard,18,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,2,True,0.6,0.0,0.5416666666666666,0.041666666666666664,1.5105920777974677,1.0,,,,,prediction,b,2.0,,,
17,hard,19,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,0,False,1.0,0.0,0.85,0.05,1.8458266904983305,0.0,,,,,prediction,b,3.0,,,
17,hard,20,hidden,hard_p_hid_3bb13,3,b,,,1,3,,1,True,0.36,0.16,0.318603515625,0.2164306640625,0.27982006181532615,1.0,0.53125,0.03125,1.5705980791178364,1.0,prediction,b,1.0,,,
18,hard,1,hidden,hard_p_hid_2ab12,2,a,,,1,2,,1,True,0.6,0.0,0.59619140625,0.038116455078125,1.617527424835669,1.0,0.625,0.024993896484375,1.757906746869505,1.0,prediction,b,1.0,,,
18,hard,2,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.1514892578125,0.1514892578125,0.0,,0.25,0.25,0.0,,prediction,a,0.0,,,
18,hard,3,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,3,True,0.4,0.0,0.38636363636363635,0.022727272727272728,1.3769919684575769,1.0,,,,,prediction,b,3.0,,,
18,hard,4,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,1,True,0.0,0.6,0.25,0.25,0.0,0.0,,,,,prediction,a,1.0,,,
18,hard,5,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,3,True,1.0,0.0,0.25,0.25,0.0,1.0,,,,,prediction,a,3.0,,,
18,hard,6,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.362060546875,0.5478515625,0.33796566355871027,0.0,0.52099609375,0.4375,0.14439603165422818,1.0,prediction,b,3.0,,,
18,hard,7,hidden,hard_p_hid_2aa23,2,a,,,2,3,,2,True,1.0,0.0,0.896484375,0.034423828125,2.00323575467904,1.0,0.931640625,0.0227203369140625,2.1289975708020994,1.0,prediction,a,2.0,,,
18,hard,8,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.5681818181818182,0.022727272727272728,1.6945957207744071,0.0,,,,,prediction,b,2.0,,,
18,hard,9,hidden,hard_p_hid_1ba30,1,b,,,3,0,,3,False,0.0,0.4,0.17236328125,0.17236328125,0.0,,0.25,0.25,0.0,,prediction,a,0.0,,,
18,hard,10,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,2,True,0.0,1.0,0.022727272727272728,0.9318181818181818,2.1291131514770734,1.0,,,,,prediction,a,2.0,,,
18,hard,11,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.065673828125,0.065673828125,0.0,,0.0227203369140625,0.0227203369140625,0.0,,prediction,a,3.0,,,
18,hard,12,hidden,hard_p_hid_3ab23,3,a,,,2,3,,2,False,0.0,0.4,0.07305908203125,0.1551513671875,0.3882239150368174,0.0,0.024993896484375,0.024993896484375,0.0,,prediction,b,3.0,,,
18,hard,13,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.1514892578125,0.54541015625,0.9424857397066501,1.0,0.25,0.25,0.0,,prediction,a,3.0,,,
18,hard,14,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,1,True,0.6,0.0,0.5208333333333334,0.020833333333333332,1.6366504759589853,1.0,,,,,prediction,b,1.0,,,
18,hard,15,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,2,True,0.6,0.0,0.75,0.08333333333333333,1.533930359925955,1.0,,,,,prediction,a,2.0,,,
18,hard,16,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,3,False,0.4,0.0,0.325,0.025,1.2237754316221159,0.0,,,,,prediction,b,0.0,,,
18,hard,17,hidden,hard_p_hid_1ba32,1,b,,,3,2,,2,True,0.0,0.24,0.17236328125,0.48291015625,0.760896300541161,1.0,0.25,0.25,0.0,,prediction,a,2.0,,,
18,hard,18,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,0,True,0.0,0.4,0.08333333333333333,0.08333333333333333,0.0,1.0,,,,,prediction,a,0.0,,,
18,hard,19,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,3,True,1.0,0.0,0.8125,0.0625,1.7255100836868542,1.0,,,,,prediction,b,3.0,,,
18,hard,20,hidden,hard_p_hid_3bb13,3,b,,,1,3,,1,True,0.36,0.16,0.377197265625,0.19189453125,0.49153741749495267,1.0,0.625,0.024993896484375,1.757906746869505,1.0,prediction,b,1.0,,,
20,hard,1,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,1,True,0.0,0.6,0.03571428571428571,0.4642857142857143,1.4250088733005808,1.0,,,,,prediction,a,1.0,,,
20,hard,2,hidden,hard_p_hid_3ab23,3,a,,,2,3,,2,False,0.0,0.4,0.06451416015625,0.350341796875,1.0070101965864502,0.0,0.02777099609375,0.02777099609375,0.0,,prediction,b,3.0,,,
20,hard,3,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,3,True,1.0,0.0,0.875,0.041666666666666664,1.9289605907415401,1.0,,,,,prediction,a,3.0,,,
20,hard,4,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.05926513671875,0.350830078125,1.0405201616267705,0.0,0.041656494140625,0.375,1.2099097324226895,0.0,prediction,a,0.0,,,
20,hard,5,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,1,False,0.0,1.0,0.041666666666666664,0.875,1.92896059074154,0.0,,,,,prediction,a,2.0,,,
20,hard,6,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,3,True,1.0,0.0,0.8125,0.0625,1.7255100836868542,1.0,,,,,prediction,b,3.0,,,
20,hard,7,hidden,hard_p_hid_2aa23,2,a,,,2,3,,3,False,1.0,0.0,0.79150390625,0.07611083984375,1.6217962502991443,0.0,0.875,0.041656494140625,1.9290323993858955,0.0,prediction,a,2.0,,,
20,hard,8,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,1,False,0.6,0.0,0.5416666666666666,0.041666666666666664,1.5105920777974677,0.0,,,,,prediction,a,2.0,,,
20,hard,9,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.07318115234375,0.35400390625,0.9637676320584352,0.0,0.041656494140625,0.041656494140625,0.0,,prediction,a,3.0,,,
20,hard,10,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,3,False,0.0,0.4,0.041666666666666664,0.375,1.209837923778334,0.0,,,,,prediction,a,0.0,,,
20,hard,11,hidden,hard_p_hid_1ba30,1,b,,,3,0,,0,True,0.0,0.4,0.07318115234375,0.3955078125,1.0512449505270776,1.0,0.03570556640625,0.46435546875,1.4251967307639988,1.0,prediction,a,0.0,,,
20,hard,12,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,3,True,0.4,0.0,0.3611111111111111,0.027777777777777776,1.2833463918674484,1.0,,,,,prediction,b,3.0,,,
20,hard,13,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,1,True,0.6,0.0,0.5416666666666666,0.041666666666666664,1.5105920777974677,1.0,,,,,prediction,b,1.0,,,
20,hard,14,hidden,hard_p_hid_1aa32,1,a,,,3,2,,3,True,0.4,0.0,0.42578125,0.0865478515625,1.0361974687968876,1.0,0.875,0.041656494140625,1.9290323993858955,1.0,prediction,a,3.0,,,
20,hard,15,hidden,hard_p_hid_2ab12,2,a,,,1,2,,1,True,0.6,0.0,0.53662109375,0.052947998046875,1.4260766677403047,1.0,0.58349609375,0.02777099609375,1.6769813725144918,1.0,prediction,b,1.0,,,
20,hard,16,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.5833333333333334,0.027777777777777776,1.6766901394432678,0.0,,,,,prediction,b,2.0,,,
20,hard,17,hidden,hard_p_hid_3bb13,3,b,,,1,3,,3,False,0.36,0.16,0.3671875,0.1795654296875,0.5134943153370188,0.0,0.58349609375,0.02777099609375,1.6769813725144918,0.0,prediction,b,1.0,,,
20,hard,18,hidden,hard_p_hid_1ba32,1,b,,,3,2,,3,False,0.0,0.24,0.07318115234375,0.2607421875,0.7338253711270356,0.0,0.03570556640625,0.03570556640625,0.0,,prediction,a,2.0,,,
20,hard,19,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.35546875,0.52294921875,0.313137896211627,0.0,0.54150390625,0.375,0.30050046924647006,1.0,prediction,b,3.0,,,
20,hard,20,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,0,True,0.4,0.0,0.3611111111111111,0.027777777777777776,1.2833463918674484,1.0,,,,,prediction,b,0.0,,,
21,easy,1,hidden,easy_p_hid_2aa31,2,a,,,3,1,,3,False,0.0,0.24,0.034759521484375,0.258056640625,0.9771993202632926,0.0,0.0208282470703125,0.0208282470703125,0.0,,prediction,a,1.0,,,
21,easy,2,hidden,easy_p_hid_2ab03,2,a,,,0,3,,3,True,0.0,0.4,0.1527099609375,0.1527099609375,0.0,,0.08331298828125,0.08331298828125,0.0,,prediction,b,3.0,,,
21,easy,3,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,3,True,0.0,0.4,0.019230769230769232,0.40384615384615385,1.4412101187160051,1.0,,,,,prediction,a,3.0,,,
21,easy,4,visible,easy_p_vis_3b3b13,3,b,3.0,,1,3,,3,True,0.0,1.0,0.25,0.25,0.0,1.0,,,,,prediction,b,3.0,,,
21,easy,5,hidden,easy_p_hid_0aa10,0,a,,,1,0,,0,True,0.0,0.6,0.03216552734375,0.5478515625,1.5896064678759354,1.0,0.01922607421875,0.5576171875,1.7076015059533787,1.0,prediction,a,0.0,,,
21,easy,6,visible,easy_p_vis_1a0a20,1,a,0.0,,2,0,,2,True,1.0,0.0,0.9375,0.020833333333333332,2.1501570664782337,1.0,,,,,prediction,a,2.0,,,
21,easy,7,hidden,easy_p_hid_3ab21,3,a,,,2,1,,2,True,0.4,0.0,0.43505859375,0.1883544921875,0.6181856630464592,1.0,0.25,0.25,0.0,,prediction,b,2.0,,,
21,easy,8,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,0.75,0.08333333333333333,1.533930359925955,1.0,,,,,prediction,b,2.0,,,
21,easy,9,hidden,easy_p_hid_0ba30,0,b,,,3,0,,3,False,0.4,0.6,0.311767578125,0.517578125,0.40534651931466636,0.0,0.40380859375,0.5576171875,0.26642655847636987,0.0,prediction,a,0.0,,,
21,easy,10,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.0333251953125,0.378662109375,1.2782037186695177,1.0,0.01922607421875,0.40380859375,1.4411749474770088,1.0,prediction,a,3.0,,,
21,easy,11,visible,easy_p_vis_3b3a13,3,b,3.0,,1,3,,1,True,0.6,0.0,0.6071428571428571,0.03571428571428571,1.6506808709681493,1.0,,,,,prediction,a,1.0,,,
21,easy,12,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,0,True,0.0,1.0,0.25,0.25,0.0,0.0,,,,,prediction,b,0.0,,,
21,easy,13,visible,easy_p_vis_2a3a03,2,a,3.0,,0,3,,0,True,0.4,0.0,0.32142857142857145,0.03571428571428571,1.133098464739279,1.0,,,,,prediction,a,0.0,,,
21,easy,14,visible,easy_p_vis_0b2b23,0,b,2.0,,2,3,,2,True,1.0,0.0,0.9318181818181818,0.022727272727272728,2.1291131514770734,1.0,,,,,prediction,b,2.0,,,
21,easy,15,hidden,easy_p_hid_2ab13,2,a,,,1,3,,3,True,0.0,0.4,0.1527099609375,0.1527099609375,0.0,,0.08331298828125,0.08331298828125,0.0,,prediction,b,3.0,,,
21,easy,16,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.03571428571428571,0.6071428571428571,1.6506808709681493,1.0,,,,,prediction,a,1.0,,,
21,easy,17,hidden,easy_p_hid_1ba21,1,b,,,2,1,,2,True,1.0,0.0,0.260498046875,0.17431640625,0.2732043313949765,1.0,0.9375,0.0208282470703125,2.1501991605753847,1.0,prediction,a,2.0,,,
21,easy,18,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,0.85,0.05,1.8458266904983305,1.0,,,,,prediction,a,0.0,,,
21,easy,19,hidden,easy_p_hid_3ba31,3,b,,,3,1,,1,True,0.0,0.6,0.1275634765625,0.17431640625,0.18685299016297702,1.0,0.0208282470703125,0.0208282470703125,0.0,,prediction,a,1.0,,,
21,easy,20,hidden,easy_p_hid_3aa21,3,a,,,2,1,,2,True,0.4,0.0,0.333740234375,0.059417724609375,1.0009178606312563,1.0,0.04998779296875,0.04998779296875,0.0,,prediction,a,2.0,,,
22,easy,0,visible,easy_e_vis_3a0a2,3,a,0.0,2.0,,,,2,False,,,0.11458333333333333,0.328125,0.6907170457066534,0.0,,,,,explanation,a,,0.4,0.0,1.0
22,easy,1,hidden,easy_e_hid_3aa2,3,a,,2.0,,,,2,False,,,0.1583333333333333,0.41701388888888885,0.6938189978509173,0.0,0.041666666666666664,0.08333333333333333,0.25782910930209996,0.0,explanation,a,,0.4,0.0,1.0
22,easy,2,visible,easy_e_vis_0b2a0,0,b,2.0,0.0,,,,2,True,,,0.5041666666666667,0.021875000000000002,1.6008541687427087,1.0,,,,,explanation,a,,0.0,0.6,2.0
22,easy,3,visible,easy_e_vis_2a0a2,2,a,0.0,2.0,,,,2,False,,,0.02291666666666667,0.48125000000000007,1.5536743379156461,0.0,,,,,explanation,a,,0.6,0.0,1.0
22,easy,4,visible,easy_e_vis_0a2a0,0,a,2.0,0.0,,,,2,True,,,0.48125000000000007,0.02291666666666667,1.5536743379156461,1.0,,,,,explanation,a,,0.0,0.6,2.0
22,easy,5,visible,easy_e_vis_0b2b2,0,b,2.0,2.0,,,,2,True,,,0.8479166666666667,0.014583333333333334,2.1129642337184795,1.0,,,,,explanation,b,,0.0,1.0,2.0
22,easy,6,hidden,easy_e_hid_0bb2,0,b,,2.0,,,,2,True,,,0.8780092592592592,0.059722222222222225,1.8120829421999691,1.0,0.925,0.016666666666666666,2.173127025757159,1.0,explanation,b,,0.0,1.0,2.0
22,easy,7,visible,easy_e_vis_3a1b0,3,a,1.0,0.0,,,,2,False,,,0.09375,0.33854166666666663,0.81688615996918,0.0,,,,,explanation,b,,0.6,0.0,1.0
22,easy,8,hidden,easy_e_hid_2aa2,2,a,,2.0,,,,2,False,,,0.0425,0.550138888888889,1.5178440155693556,0.0,0.016666666666666666,0.875,2.1231166051824975,0.0,explanation,a,,0.6,0.0,1.0
22,easy,9,hidden,easy_e_hid_3ab0,3,a,,0.0,,,,2,False,,,0.18020833333333333,0.38749999999999996,0.5537569163158075,0.0,0.125,0.625,1.1700712526502546,0.0,explanation,b,,0.6,0.0,1.0
22,easy,10,hidden,easy_e_hid_3ba0,3,b,,0.0,,,,2,True,,,0.38749999999999996,0.18020833333333333,0.5537569163158075,1.0,0.625,0.125,1.1700712526502546,1.0,explanation,a,,-0.2,0.4,2.0
22,easy,11,visible,easy_e_vis_0b2a3,0,b,2.0,3.0,,,,2,True,,,0.3819444444444444,0.021875000000000002,1.3748329176008838,1.0,,,,,explanation,a,,0.0,0.4,2.0
22,easy,12,hidden,easy_e_hid_0aa3,0,a,,3.0,,,,2,True,,,0.37268518518518523,0.043750000000000004,1.1903539167911321,1.0,0.4166666666666667,0.025,1.4190841839428816,1.0,explanation,a,,0.0,0.4,2.0
22,easy,13,hidden,easy_e_hid_2bb2,2,b,,2.0,,,,2,True,,,0.550138888888889,0.0425,1.5178440155693558,1.0,0.875,0.016666666666666666,2.1231166051824975,1.0,explanation,b,,0.4,1.0,2.0
22,easy,14,hidden,easy_e_hid_0ba0,0,b,,0.0,,,,2,True,,,0.532716049382716,0.060069444444444446,1.3744139934794217,1.0,0.55,0.025,1.6486586255873816,1.0,explanation,a,,0.0,0.6,2.0
22,easy,15,visible,easy_e_vis_3a1a0,3,a,1.0,0.0,,,,2,False,,,0.078125,0.40625,1.0445450673978338,0.0,,,,,explanation,a,,0.6,0.0,1.0
22,easy,16,hidden,easy_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.5240740740740741,0.048379629629629634,1.4364950151115277,1.0,0.55,0.025,1.6486586255873816,1.0,explanation,a,,0.0,0.6,2.0
22,easy,17,hidden,easy_e_hid_3ab2,3,a,,2.0,,,,2,False,,,0.31354166666666666,0.41388888888888886,0.21724879740286043,0.0,0.125,0.125,0.0,,explanation,b,,0.4,0.0,1.0
22,easy,18,visible,easy_e_vis_2a0b2,2,a,0.0,2.0,,,,2,False,,,0.021875000000000002,0.5041666666666667,1.6008541687427087,0.0,,,,,explanation,b,,0.6,0.0,1.0
22,easy,19,visible,easy_e_vis_0a2b2,0,a,2.0,2.0,,,,2,True,,,0.8093750000000001,0.015277777777777777,2.0654128755912233,1.0,,,,,explanation,b,,0.0,1.0,2.0
23,easy,0,visible,easy_c_vis_3b0,3,b,3.0,0.0,a,b,a,a,True,0.4,0.0,0.45,0.03571428571428571,1.3993664426872434,1.0,,,,,control,,,,,
23,easy,1,visible,easy_c_vis_0a2,0,a,2.0,2.0,a,b,b,b,True,0.0,1.0,0.022727272727272728,0.9423076923076923,2.1392278702122054,1.0,,,,,control,,,,,
23,easy,2,hidden,easy_c_hid_23-aa-ab,2,,,3.0,aa,ab,ab,aa,False,0.0,0.4,0.051232290436835894,0.37191974691974694,1.137991941382111,0.0,0.03571428571428571,0.041666666666666664,0.04292504471703377,0.0,control,,,,,
23,easy,3,hidden,easy_c_hid_32-ab-ba,3,,,2.0,ab,ba,ab,ab,True,0.4,0.0,0.4989010989010989,0.08180658627087199,1.1921530649347218,1.0,0.875,0.05,1.8718021769015913,1.0,control,,,,,
23,easy,4,visible,easy_c_vis_0b2,0,b,2.0,2.0,a,b,b,b,True,0.0,1.0,0.022727272727272728,0.9423076923076923,2.1392278702122054,1.0,,,,,control,,,,,
23,easy,5,hidden,easy_c_hid_21-ab-aa,2,,,1.0,ab,aa,aa,aa,True,0.0,0.24,0.04075091575091575,0.19751328217237307,0.748467096724803,1.0,0.041666666666666664,0.03571428571428571,0.042925044717033844,0.0,control,,,,,
23,easy,6,visible,easy_c_vis_2a1,2,a,3.0,1.0,a,b,a,a,True,0.6,0.0,0.45,0.03571428571428571,1.3993664426872434,1.0,,,,,control,,,,,
23,easy,7,hidden,easy_c_hid_31-aa-ba,3,,,1.0,aa,ba,ba,ba,True,0.0,0.6,0.0959577922077922,0.40833719851576994,0.9532457138204222,1.0,0.03571428571428571,0.45,1.3993664426872434,1.0,control,,,,,
23,easy,8,hidden,easy_c_hid_33-bb-ba,3,,,3.0,bb,ba,bb,bb,True,1.0,0.0,0.8038330716902146,0.0641813543599258,1.7056730520070806,1.0,0.8928571428571429,0.05,1.8899514954072687,1.0,control,,,,,
23,easy,9,hidden,easy_c_hid_32-aa-bb,3,,,2.0,aa,bb,aa,aa,True,0.4,0.0,0.461672077922078,0.10125588697017268,1.026341020458031,1.0,0.8928571428571429,0.03571428571428571,1.9900349539642512,1.0,control,,,,,
23,easy,10,visible,easy_c_vis_3b3,3,b,3.0,3.0,a,b,b,a,False,0.0,1.0,0.05,0.8928571428571429,1.8899514954072685,0.0,,,,,control,,,,,
23,easy,11,visible,easy_c_vis_0b3,0,b,2.0,3.0,a,b,a,a,True,0.4,0.0,0.38636363636363635,0.019230769230769232,1.405895714639926,1.0,,,,,control,,,,,
