participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
2,easy,9,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,0.25,0.25,0.0,1.0,,,,,prediction,b,2.0,,,
2,easy,10,visible,easy_p_vis_3b3a13,3,b,3.0,,1,3,,1,True,0.6,0.0,0.4642857142857143,0.03571428571428571,1.4250088733005808,1.0,,,,,prediction,a,1.0,,,
2,easy,11,hidden,easy_p_hid_3ab21,3,a,,,2,1,,2,True,0.4,0.0,0.2734375,0.2421875,0.08739182211500984,1.0,0.25,0.25,0.0,,prediction,b,2.0,,,
2,easy,12,hidden,easy_p_hid_2ab03,2,a,,,0,3,,3,True,0.0,0.4,0.24658203125,0.24658203125,0.0,,0.25,0.25,0.0,,prediction,b,3.0,,,
2,easy,13,visible,easy_p_vis_0b2b23,0,b,2.0,,2,3,,2,True,1.0,0.0,0.90625,0.03125,2.03688192726104,1.0,,,,,prediction,b,2.0,,,
2,easy,14,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,3,False,0.0,1.0,0.25,0.25,0.0,0.0,,,,,prediction,b,0.0,,,
2,easy,15,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.03571428571428571,0.4642857142857143,1.4250088733005808,1.0,,,,,prediction,a,1.0,,,
2,easy,16,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.0311431884765625,0.357666015625,1.2498499265034573,1.0,0.015625,0.390625,1.4453278927040836,1.0,prediction,a,3.0,,,
2,easy,17,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,3,True,0.0,0.4,0.015625,0.390625,1.4453278927040836,1.0,,,,,prediction,a,3.0,,,
2,easy,18,hidden,easy_p_hid_3aa21,3,a,,,2,1,,1,False,0.4,0.0,0.471923828125,0.05389404296875,1.3127414819584957,0.0,0.9501953125,0.01666259765625,2.1974454497832796,0.0,prediction,a,2.0,,,
2,easy,19,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,0.8125,0.0625,1.7255100836868542,1.0,,,,,prediction,a,0.0,,,
2,easy,20,hidden,easy_p_hid_3ba31,3,b,,,3,1,,1,True,0.0,0.6,0.1263427734375,0.1397705078125,0.05763170155079182,1.0,0.01666259765625,0.01666259765625,0.0,,prediction,a,1.0,,,
3,easy,1,visible,easy_p_vis_3b3a13,3,b,3.0,,1,3,,1,True,0.6,0.0,0.5416666666666666,0.041666666666666664,1.5105920777974677,1.0,,,,,prediction,a,1.0,,,
3,easy,2,hidden,easy_p_hid_2ba13,2,b,,,1,3,,3,True,0.0,0.4,0.03350830078125,0.376708984375,1.2727425550103362,1.0,0.01922607421875,0.40380859375,1.4411749474770088,1.0,prediction,a,3.0,,,
3,easy,3,visible,easy_p_vis_3b3b13,3,b,3.0,,1,3,,1,False,0.0,1.0,0.05,0.85,1.8458266904983307,0.0,,,,,prediction,b,3.0,,,
3,easy,4,visible,easy_p_vis_2a3a03,2,a,3.0,,0,3,,0,True,0.4,0.0,0.375,0.041666666666666664,1.209837923778334,1.0,,,,,prediction,a,0.0,,,
3,easy,5,visible,easy_p_vis_3a1a01,3,a,1.0,,0,1,,0,True,1.0,0.0,0.8125,0.0625,1.7255100836868542,1.0,,,,,prediction,a,0.0,,,
3,easy,6,hidden,easy_p_hid_3aa21,3,a,,,2,1,,2,True,0.4,0.0,0.38330078125,0.06658935546875,1.065107360393608,1.0,0.0625,0.0625,0.0,,prediction,a,2.0,,,
3,easy,7,hidden,easy_p_hid_2ab03,2,a,,,0,3,,3,True,0.0,0.4,0.060333251953125,0.38330078125,1.1033847214718684,1.0,0.0625,0.0625,0.0,,prediction,b,3.0,,,
3,easy,8,visible,easy_p_vis_1b0b21,1,b,0.0,,2,1,,2,True,1.0,0.0,0.8125,0.0625,1.7255100836868542,1.0,,,,,prediction,b,2.0,,,
3,easy,9,visible,easy_p_vis_1a0a20,1,a,0.0,,2,0,,2,True,1.0,0.0,0.925,0.025,2.1041341542702074,1.0,,,,,prediction,a,2.0,,,
3,easy,10,hidden,easy_p_hid_3ba31,3,b,,,3,1,,1,True,0.0,0.6,0.05999755859375,0.4658203125,1.2631180023895858,1.0,0.041656494140625,0.54150390625,1.5104102016691594,1.0,prediction,a,1.0,,,
3,easy,11,hidden,easy_p_hid_2aa31,2,a,,,3,1,,3,False,0.0,0.24,0.03973388671875,0.2342529296875,0.872158176275225,0.0,0.024993896484375,0.024993896484375,0.0,,prediction,a,1.0,,,
3,easy,12,visible,easy_p_vis_2a3a31,2,a,3.0,,3,1,,1,True,0.0,0.6,0.041666666666666664,0.5416666666666666,1.5105920777974677,1.0,,,,,prediction,a,1.0,,,
3,easy,13,hidden,easy_p_hid_0aa10,0,a,,,1,0,,0,True,0.0,0.6,0.03350830078125,0.54638671875,1.5772343064635328,1.0,0.01922607421875,0.5576171875,1.7076015059533787,1.0,prediction,a,0.0,,,
3,easy,14,visible,easy_p_vis_0b2b23,0,b,2.0,,2,3,,2,True,1.0,0.0,0.925,0.025,2.1041341542702074,1.0,,,,,prediction,b,2.0,,,
3,easy,15,hidden,easy_p_hid_2ab13,2,a,,,1,3,,1,False,0.0,0.4,0.060333251953125,0.38330078125,1.1033847214718684,0.0,0.0625,0.0625,0.0,,prediction,b,3.0,,,
3,easy,16,hidden,easy_p_hid_0ba30,0,b,,,3,0,,0,True,0.4,0.6,0.336181640625,0.52880859375,0.3657681443962898,1.0,0.40380859375,0.5576171875,0.26642655847636987,1.0,prediction,a,0.0,,,
3,easy,17,visible,easy_p_vis_3a1b30,3,a,1.0,,3,0,,0,True,0.0,1.0,0.25,0.25,0.0,0.0,,,,,prediction,b,0.0,,,
3,easy,18,hidden,easy_p_hid_1ba21,1,b,,,2,1,,2,True,1.0,0.0,0.26220703125,0.162109375,0.32345407939801846,1.0,0.9248046875,0.024993896484375,2.103992416650126,1.0,prediction,a,2.0,,,
3,easy,19,hidden,easy_p_hid_3ab21,3,a,,,2,1,,2,True,0.4,0.0,0.480712890625,0.1619873046875,0.7959604233600633,1.0,0.25,0.25,0.0,,prediction,b,2.0,,,
3,easy,20,visible,easy_p_vis_2b2a13,2,b,2.0,,1,3,,1,False,0.0,0.4,0.019230769230769232,0.40384615384615385,1.4412101187160051,0.0,,,,,prediction,a,3.0,,,
4,hard,1,hidden,hard_p_hid_1aa32,1,a,,,3,2,,2,False,0.4,0.0,0.304443359375,0.14697265625,0.4932340733683535,0.0,0.0625,0.0625,0.0,,prediction,a,3.0,,,
4,hard,2,hidden,hard_p_hid_3ab23,3,a,,,2,3,,2,False,0.0,0.4,0.0640869140625,0.285888671875,0.8551526617949546,0.0,0.02777099609375,0.02777099609375,0.0,,prediction,b,3.0,,,
4,hard,3,visible,hard_p_vis_3a0b30,3,a,0.0,,3,0,,0,False,1.0,0.0,0.75,0.08333333333333333,1.533930359925955,0.0,,,,,prediction,b,3.0,,,
4,hard,4,visible,hard_p_vis_0a3b21,0,a,3.0,,2,1,,1,False,0.6,0.0,0.5416666666666666,0.041666666666666664,1.5105920777974677,0.0,,,,,prediction,b,2.0,,,
4,hard,5,visible,hard_p_vis_0b3a21,0,b,3.0,,2,1,,2,True,0.6,0.0,0.6071428571428571,0.03571428571428571,1.6506808709681493,1.0,,,,,prediction,a,2.0,,,
4,hard,6,visible,hard_p_vis_0a3a30,0,a,3.0,,3,0,,3,False,0.0,0.4,0.03571428571428571,0.32142857142857145,1.133098464739279,0.0,,,,,prediction,a,0.0,,,
4,hard,7,visible,hard_p_vis_2a2b03,2,a,2.0,,0,3,,3,False,0.4,0.0,0.3611111111111111,0.027777777777777776,1.2833463918674484,0.0,,,,,prediction,b,0.0,,,
4,hard,8,hidden,hard_p_hid_1ba32,1,b,,,3,2,,3,False,0.0,0.24,0.07501220703125,0.310546875,0.8526343864304097,0.0,0.0625,0.0625,0.0,,prediction,a,2.0,,,
4,hard,9,hidden,hard_p_hid_2aa23,2,a,,,2,3,,2,True,1.0,0.0,0.884765625,0.042724609375,1.9314867037565098,1.0,0.931640625,0.0227203369140625,2.1289975708020994,1.0,prediction,a,2.0,,,
4,hard,10,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.062103271484375,0.29248046875,0.8842531644098235,0.0,0.03570556640625,0.321533203125,1.1334109621217983,0.0,prediction,a,0.0,,,
4,hard,11,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,1,True,0.0,0.6,0.0625,0.5625,1.405342556090585,1.0,,,,,prediction,a,1.0,,,
4,hard,12,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.052520751953125,0.29052734375,0.9401973240646658,0.0,0.0227203369140625,0.0227203369140625,0.0,,prediction,a,3.0,,,
4,hard,13,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.357421875,0.51904296875,0.30256858156655847,0.0,0.53125,0.40625,0.22067136216882066,1.0,prediction,b,3.0,,,
4,hard,14,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,3,True,1.0,0.0,0.85,0.05,1.8458266904983305,1.0,,,,,prediction,a,3.0,,,
4,hard,15,hidden,hard_p_hid_2ab12,2,a,,,1,2,,2,False,0.6,0.0,0.55859375,0.040802001953125,1.5427522180303874,0.0,0.58349609375,0.02777099609375,1.6769813725144918,0.0,prediction,b,1.0,,,
4,hard,16,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,0,False,0.6,0.0,0.53125,0.03125,1.5705980791178364,0.0,,,,,prediction,b,1.0,,,
4,hard,17,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,2,True,0.0,1.0,0.022727272727272728,0.9318181818181818,2.1291131514770734,1.0,,,,,prediction,a,2.0,,,
4,hard,18,hidden,hard_p_hid_3bb13,3,b,,,1,3,,1,True,0.36,0.16,0.357177734375,0.203857421875,0.4085136463696713,1.0,0.58349609375,0.02777099609375,1.6769813725144918,1.0,prediction,b,1.0,,,
4,hard,19,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,0,False,0.4,0.0,0.375,0.041666666666666664,1.209837923778334,0.0,,,,,prediction,b,3.0,,,
