"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
16,22,29,1,"b",1,2,"b",1,"b",1,728.659000000742,0,"1b1"
16,22,30,1,"b",1,1,"b",1,"b",1,865.637000001487,0,"1b1"
16,22,31,1,"b",3,1,"b",1,"b",3,1081.00200000223,0,"1b3"
16,22,32,3,"b",3,1,"b",3,"b",3,3140.32400000298,0,"3b3"
16,22,33,3,"b",2,3,"b",3,"b",2,1296.01800000224,0,"3b2"
16,22,34,2,"b",0,3,"b",2,"b",0,1110.29000000223,0,"2b0"
16,22,35,0,"b",3,2,"b",0,"b",3,789.303000002241,0,"0b3"
16,22,36,3,"b",3,0,"b",3,"b",3,2386.12200000075,0,"3b3"
16,22,37,3,"b",2,3,"b",3,"b",2,2262.715,0,"3b2"
16,22,38,2,"b",1,3,"b",2,"b",1,2374.53800000076,0,"2b1"
16,22,39,1,"b",1,2,"b",1,"b",1,873.10500000001,0,"1b1"
16,22,40,1,"b",3,1,"b",1,"b",3,1105.73800000298,0,"1b3"
16,22,41,3,"b",2,1,"b",3,"b",2,2772.087,0,"3b2"
16,22,42,2,"b",1,3,"b",2,"b",1,918.517000001477,0,"2b1"
16,22,43,1,"b",1,2,"b",1,"b",1,259.664000001503,1,"1b1"
16,22,44,1,"b",1,1,"b",1,"b",1,507.76700000299,0,"1b1"
16,22,45,1,"b",3,1,"b",1,"b",3,321.075000001496,0,"1b3"
17,22,1,3,"a",2,NA,NA,NA,NA,NA,1932.92,0,"3a2"
17,22,2,2,"b",0,3,"a",2,"b",0,1116.22,0,"2b0"
17,22,3,0,"b",3,2,"b",0,"b",3,1173.06,0,"0b3"
17,22,4,3,"a",2,0,"b",3,"a",2,909.119999999995,0,"3a2"
17,22,5,2,"b",1,3,"a",2,"b",1,2420.8,0,"2b1"
17,22,6,1,"a",0,2,"b",1,"a",0,1651.84,0,"1a0"
17,22,7,0,"b",3,1,"a",0,"b",3,1221.22,0,"0b3"
17,22,8,3,"a",2,0,"b",3,"a",2,1025.22,0,"3a2"
17,22,9,2,"a",2,3,"a",2,"a",2,1407.84,0,"2a2"
17,22,10,2,"a",2,2,"a",2,"a",2,2259.38,0,"2a2"
17,22,11,2,"b",1,2,"a",2,"b",1,1169.78,0,"2b1"
17,22,12,1,"b",3,2,"b",1,"b",3,1067.28,0,"1b3"
17,22,13,3,"b",2,1,"b",3,"b",2,1290.06,0,"3b2"
17,22,14,2,"b",0,3,"b",2,"b",0,945.639999999999,0,"2b0"
17,22,15,0,"b",3,2,"b",0,"b",3,750.619999999995,0,"0b3"
17,22,16,3,"a",0,0,"b",3,"a",0,1120.82000000001,0,"3a0"
17,22,17,0,"a",3,3,"a",0,"a",3,631.059999999998,0,"0a3"
17,22,18,3,"a",0,0,"a",3,"a",0,1633.32000000001,0,"3a0"
17,22,19,0,"a",3,3,"a",0,"a",3,748.740000000005,0,"0a3"
17,22,20,3,"a",2,0,"a",3,"a",2,562.880000000005,0,"3a2"
17,22,21,2,"a",2,3,"a",2,"a",2,1027.82000000001,0,"2a2"
17,22,22,2,"b",1,2,"a",2,"b",1,809.239999999991,0,"2b1"
17,22,23,1,"a",1,2,"b",1,"a",1,862.140000000014,0,"1a1"
17,22,24,1,"b",1,1,"a",1,"b",1,444.420000000013,0,"1b1"
17,22,25,1,"a",0,1,"b",1,"a",0,378.239999999991,0,"1a0"
17,22,26,0,"b",3,1,"a",0,"b",3,295.559999999998,1,"0b3"
17,22,27,3,"b",3,0,"b",3,"b",3,9821.16,0,"3b3"
17,22,28,3,"b",3,3,"b",3,"b",3,512.140000000014,0,"3b3"
17,22,29,3,"b",2,3,"b",3,"b",2,463.619999999995,0,"3b2"
17,22,30,2,"b",0,3,"b",2,"b",0,1665.64000000001,0,"2b0"
17,22,31,0,"a",3,2,"b",0,"a",3,486.160000000003,0,"0a3"
17,22,32,3,"a",0,0,"a",3,"a",0,3201.45999999999,0,"3a0"
17,22,33,0,"a",3,3,"a",0,"a",3,426.540000000008,0,"0a3"
17,22,34,3,"a",2,0,"a",3,"a",2,405.220000000001,0,"3a2"
