participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
8,21.0,easy,control,Experiment 1 (no preview),10,visible,0.0,a,2.0,,3.0,a,b,a,a,1.0,1567.335000011895
8,21.0,easy,control,Experiment 1 (no preview),11,visible,2.0,b,2.0,,2.0,a,b,b,b,1.0,1091.6669999761507
8,21.0,easy,control,Experiment 1 (no preview),12,hidden,3.0,,,,3.0,bb,ba,bb,ba,0.0,5413.146999999997
8,21.0,easy,control,Experiment 1 (no preview),13,hidden,3.0,,,,2.0,aa,bb,aa,bb,0.0,7910.343999976176
8,21.0,easy,control,Experiment 1 (no preview),14,hidden,3.0,,,,2.0,ab,ba,ab,ab,1.0,3826.4679999999935
8,21.0,easy,control,Experiment 1 (no preview),15,visible,2.0,a,3.0,,3.0,a,b,b,a,0.0,4726.317999988096
8,21.0,easy,control,Experiment 1 (no preview),16,visible,2.0,a,3.0,,1.0,a,b,a,a,1.0,7516.309000000008
8,21.0,easy,control,Experiment 1 (no preview),17,hidden,2.0,,,,2.0,aa,bb,bb,bb,1.0,2553.434000023816
8,21.0,easy,control,Experiment 1 (no preview),18,hidden,2.0,,,,3.0,aa,ab,ab,aa,0.0,4317.378000023833
8,21.0,easy,control,Experiment 1 (no preview),19,visible,0.0,a,2.0,,0.0,a,b,a,a,1.0,8868.403000023856
8,21.0,easy,control,Experiment 1 (no preview),20,hidden,0.0,,,,2.0,aa,bb,bb,bb,1.0,2223.962000011932
11,21.0,easy,control,Experiment 1 (no preview),1,visible,0.0,a,2.0,,3.0,a,b,a,a,1.0,5270.738000000187
11,21.0,easy,control,Experiment 1 (no preview),2,visible,2.0,a,3.0,,1.0,a,b,a,a,1.0,3877.356000000204
11,21.0,easy,control,Experiment 1 (no preview),3,hidden,3.0,,,,3.0,bb,ba,bb,bb,1.0,6612.521000000183
11,21.0,easy,control,Experiment 1 (no preview),4,visible,3.0,b,3.0,,3.0,a,b,b,b,1.0,4438.461000000185
11,21.0,easy,control,Experiment 1 (no preview),5,hidden,0.0,,,,3.0,ab,aa,aa,ab,0.0,12846.28300000017
11,21.0,easy,control,Experiment 1 (no preview),6,visible,0.0,a,2.0,,2.0,a,b,b,b,1.0,12574.897999999812
11,21.0,easy,control,Experiment 1 (no preview),7,hidden,2.0,,,,3.0,aa,ab,ab,ab,1.0,15977.854999999809
11,21.0,easy,control,Experiment 1 (no preview),8,visible,0.0,a,2.0,,0.0,a,b,a,a,1.0,7661.0349999998
11,21.0,easy,control,Experiment 1 (no preview),9,hidden,0.0,,,,0.0,aa,ab,aa,ab,0.0,13172.994000000355
11,21.0,easy,control,Experiment 1 (no preview),10,hidden,2.0,,,,2.0,aa,bb,bb,bb,1.0,4824.79600000038
11,21.0,easy,control,Experiment 1 (no preview),11,visible,0.0,b,2.0,,2.0,a,b,b,b,1.0,1705.432000000379
11,21.0,easy,control,Experiment 1 (no preview),12,hidden,3.0,,,,1.0,aa,ba,ba,aa,0.0,2999.2569999998086
11,21.0,easy,control,Experiment 1 (no preview),13,hidden,0.0,,,,2.0,aa,bb,bb,bb,1.0,14530.047999999602
11,21.0,easy,control,Experiment 1 (no preview),14,hidden,3.0,,,,2.0,ab,ba,ab,ab,1.0,7407.605999999796
11,21.0,easy,control,Experiment 1 (no preview),15,visible,3.0,b,3.0,,0.0,a,b,a,a,1.0,6666.179000000353
11,21.0,easy,control,Experiment 1 (no preview),16,hidden,3.0,,,,2.0,aa,bb,aa,aa,1.0,8840.878000000026
11,21.0,easy,control,Experiment 1 (no preview),17,visible,2.0,a,3.0,,3.0,a,b,b,b,1.0,4505.375
11,21.0,easy,control,Experiment 1 (no preview),18,visible,2.0,b,2.0,,2.0,a,b,b,b,1.0,1527.1720000000205
11,21.0,easy,control,Experiment 1 (no preview),19,hidden,2.0,,,,1.0,ab,aa,aa,aa,1.0,4756.561999999976
11,21.0,easy,control,Experiment 1 (no preview),20,visible,0.0,b,2.0,,3.0,a,b,a,a,1.0,1799.6849999999977
12,22.0,hard,control,Experiment 1 (no preview),1,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,1604.373999997013
12,22.0,hard,control,Experiment 1 (no preview),2,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,2489.596999997011
12,22.0,hard,control,Experiment 1 (no preview),3,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,2771.6080000089423
12,22.0,hard,control,Experiment 1 (no preview),4,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,971.681999997032
12,22.0,hard,control,Experiment 1 (no preview),5,hidden,1.0,,,,3.0,ab,ba,ab,ba,0.0,2935.7289999970235
12,22.0,hard,control,Experiment 1 (no preview),6,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,3050.599999997008
12,22.0,hard,control,Experiment 1 (no preview),7,hidden,3.0,,,,3.0,aa,ba,aa,ba,0.0,3208.829999999987
12,22.0,hard,control,Experiment 1 (no preview),8,hidden,0.0,,,,3.0,aa,ab,ab,aa,0.0,4209.361999999994
12,22.0,hard,control,Experiment 1 (no preview),9,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,3229.3060000059486
12,22.0,hard,control,Experiment 1 (no preview),10,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,6820.135000000009
12,22.0,hard,control,Experiment 1 (no preview),11,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,5184.1479999999865
12,22.0,hard,control,Experiment 1 (no preview),12,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,724.310000005964
12,22.0,hard,control,Experiment 1 (no preview),13,visible,0.0,b,3.0,,3.0,a,b,b,a,0.0,5625.325000000012
12,22.0,hard,control,Experiment 1 (no preview),14,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,3669.547000000021
12,22.0,hard,control,Experiment 1 (no preview),15,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,2866.570000000007
12,22.0,hard,control,Experiment 1 (no preview),16,visible,1.0,b,1.0,,3.0,a,b,b,b,1.0,4386.199000000022
12,22.0,hard,control,Experiment 1 (no preview),17,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,994.6910000029602
12,22.0,hard,control,Experiment 1 (no preview),18,visible,2.0,b,1.0,,0.0,a,b,a,a,1.0,574.8340000089374
12,22.0,hard,control,Experiment 1 (no preview),19,visible,3.0,b,2.0,,1.0,a,b,b,b,1.0,1244.078000005975
12,22.0,hard,control,Experiment 1 (no preview),20,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,758.1160000030068
22,21.0,easy,control,Experiment 1 (no preview),1,visible,3.0,b,3.0,,0.0,a,b,a,a,1.0,1417.8850000000093
22,21.0,easy,control,Experiment 1 (no preview),2,visible,0.0,a,2.0,,2.0,a,b,b,b,1.0,1752.949000017892
22,21.0,easy,control,Experiment 1 (no preview),3,hidden,2.0,,,,3.0,aa,ab,ab,aa,0.0,13720.443999999989
22,21.0,easy,control,Experiment 1 (no preview),4,hidden,3.0,,,,2.0,ab,ba,ab,ab,1.0,12778.277000005968
22,21.0,easy,control,Experiment 1 (no preview),5,visible,0.0,b,2.0,,2.0,a,b,b,b,1.0,2950.056000011915
22,21.0,easy,control,Experiment 1 (no preview),6,hidden,2.0,,,,1.0,ab,aa,aa,aa,1.0,4013.847999999998
