participant_id,fsm_number,test_condition,timestamp,learning_counter,state_current,response_current,state_next,task,learning_condition,response_time,fsm_type
1,22.0,control,2023-01-23T23:16:08.988Z,38,1.0,a,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),853,hard
1,22.0,control,2023-01-23T23:16:10.268Z,39,1.0,b,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),275,hard
1,22.0,control,2023-01-23T23:16:11.493Z,40,3.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),214,hard
1,22.0,control,2023-01-23T23:16:12.760Z,41,0.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),252,hard
1,22.0,control,2023-01-23T23:16:14.026Z,42,3.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),254,hard
1,22.0,control,2023-01-23T23:16:15.635Z,43,2.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),594,hard
2,21.0,prediction,2023-01-23T23:15:54.433Z,1,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),4201,easy
2,21.0,prediction,2023-01-23T23:15:57.458Z,2,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1834,easy
2,21.0,prediction,2023-01-23T23:16:00.101Z,3,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1632,easy
2,21.0,prediction,2023-01-23T23:16:02.552Z,4,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1436,easy
2,21.0,prediction,2023-01-23T23:16:04.336Z,5,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),775,easy
2,21.0,prediction,2023-01-23T23:16:06.260Z,6,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),915,easy
2,21.0,prediction,2023-01-23T23:16:10.085Z,7,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2816,easy
2,21.0,prediction,2023-01-23T23:16:14.077Z,8,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2982,easy
2,21.0,prediction,2023-01-23T23:16:17.786Z,9,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2695,easy
2,21.0,prediction,2023-01-23T23:16:19.670Z,10,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),868,easy
2,21.0,prediction,2023-01-23T23:16:21.845Z,11,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1162,easy
2,21.0,prediction,2023-01-23T23:16:23.871Z,12,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1011,easy
2,21.0,prediction,2023-01-23T23:16:25.490Z,13,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),605,easy
2,21.0,prediction,2023-01-23T23:16:26.904Z,14,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),404,easy
2,21.0,prediction,2023-01-23T23:16:28.529Z,15,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),617,easy
2,21.0,prediction,2023-01-23T23:16:29.988Z,16,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),444,easy
