"Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Total.approvals","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Fluent.languages","openLabId","participant_id"
"2023-01-24T18:29:01.093000Z","2023-01-24T18:35:55.997000Z","2023-01-25T00:39:30.778000","2023-01-24T18:35:56.422725Z",415,54,"Yes",21,"Female","Black","United States","United States","Haiti","English","Yes","Other","English","T9KU3ey75w",23
"2023-01-24T18:29:05.925000Z","2023-01-24T18:41:46.107000Z","2023-01-25T00:39:35.919000","2023-01-24T18:41:46.485542Z",761,54,"Yes",36,"Male","Black","Nigeria","United States","Nigeria","English","Yes","Part-Time","English","HUMliuVcwI",24
"2023-01-24T18:30:15.714000Z","2023-01-24T18:35:31.778000Z","2023-01-25T00:39:30.867000","2023-01-24T18:35:32.146398Z",317,181,"Yes",28,"Female","White","United States","United States","United States","English","No","Full-Time","English","PzhDFcBthp",25
"2023-01-24T18:34:39.453000Z","2023-01-24T18:47:51.580000Z","2023-01-25T00:39:36.014000","2023-01-24T18:47:52.482538Z",793,45,"Yes",39,"Male","Black","Nigeria","United States","Nigeria","English","Yes","Part-Time","English","yS-J-4SiBK",26
"2023-01-24T18:36:18.490000Z","2023-01-24T18:46:04.164000Z","2023-01-25T00:39:30.959000","2023-01-24T18:46:04.540946Z",586,62,"Yes",29,"Female","White","United States","United States","United States","English","Yes","Full-Time","English","8beGifhDrE",27
"2023-01-24T18:37:31.672000Z","2023-01-24T18:43:56.783000Z","2023-01-25T00:30:40.049000","2023-01-24T18:43:57.111040Z",386,14,"Yes",28,"Female","Asian","United States","United States","United States","English","No","Full-Time","English","adV_1loU82",28
"2023-01-24T18:40:22.774000Z","2023-01-24T18:49:17.373000Z","2023-01-25T00:39:31.050000","2023-01-24T18:49:19.007345Z",535,84,"Yes",24,"Female","White","United States","United States","United States","English","No","DATA_EXPIRED","English","ejwXGSG0R2",29
"2023-01-24T18:43:24.241000Z","2023-01-24T18:51:30.367000Z","2023-01-25T00:39:31.140000","2023-01-24T18:51:30.913202Z",487,15,"Yes",22,"Female","White","United States","United States","United States","English","Yes","Full-Time","English","agq1x-4m_u",30
"2023-01-24T19:02:52.784000Z","2023-01-24T19:12:57.505000Z","2023-01-25T00:39:36.107000","2023-01-24T19:12:58.139261Z",605,158,"Yes",28,"Male","White","Mexico","United States","Mexico","Spanish","Yes","DATA_EXPIRED","Spanish, English","sIdWFoT2-8",31
"2023-01-24T20:51:30.639000Z","2023-01-24T21:00:09.419000Z","2023-01-25T00:39:31.232000","2023-01-24T21:00:13.130109Z",519,101,"Yes",21,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","o6VjHlmwB5",32
"2023-01-24T21:00:08.709000Z","2023-01-24T21:07:33.004000Z","2023-01-25T00:39:36.198000","2023-01-24T21:07:33.665903Z",445,195,"Yes",28,"Male","Black","United States","United States","United States","English","No","Unemployed (and job seeking)","English","q5GBsjbGTj",33
"2023-01-24T21:30:35.734000Z","2023-01-24T21:39:39.440000Z","2023-01-25T00:39:36.292000","2023-01-24T21:39:40.121918Z",544,126,"Yes",24,"Male","White","United States","United States","United States","English","No","Full-Time","English","gXB-wwtM6b",34
"2023-01-24T22:01:05.825000Z","2023-01-24T22:08:48.415000Z","2023-01-25T00:39:31.323000","2023-01-24T22:08:48.909842Z",463,85,"Yes",25,"Female","White","United States","United States","Malta","English","No","Full-Time","English","9VndV4AetP",35
"2023-01-24T22:01:44.202000Z","2023-01-24T22:09:44.422000Z","2023-01-25T00:39:36.384000","2023-01-24T22:09:44.852928Z",481,102,"Yes",30,"Male","Asian","India","United States","India","Bengali","Yes","Part-Time","Hindi, Other, English, Bengali","VyRJTzpuMS",36
"2023-01-24T22:22:39.263000Z","2023-01-24T22:31:17.995000Z","2023-01-25T00:39:31.412000","2023-01-24T22:31:18.555177Z",519,167,"Yes",21,"Female","Asian","Korea","United States","Korea","Korean","Yes","Part-Time","English","lBZAiQfq9U",37
"2023-01-24T22:23:27.460000Z","2023-01-24T22:33:28.156000Z","2023-01-25T00:39:36.477000","2023-01-24T22:33:28.833285Z",601,29,"Yes",21,"Male","White","United Kingdom","United States","United Kingdom","English","Yes","Due to start a new job within the next month","English","DaQoIkJ02L",38
"2023-01-24T23:25:57.463000Z","2023-01-24T23:32:55.619000Z","2023-01-25T00:39:31.503000","2023-01-24T23:32:56.022960Z",419,18,"Yes",22,"Female","Asian","United States","United States","Philippines","English","Yes","Part-Time","English","4SzjEwNmFi",39
"2023-01-24T23:44:09.293000Z","2023-01-24T23:52:47.570000Z","2023-01-25T00:39:31.592000","2023-01-24T23:52:47.916703Z",519,154,"Yes",23,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","P0Kvs0dTqW",40
"2023-01-25T00:16:03.175000Z","2023-01-25T00:31:31.202000Z","2023-01-25T00:39:36.571000","2023-01-25T00:31:31.623466Z",929,164,"Yes",20,"Male","White","Peru","United States","Peru","Spanish","DATA_EXPIRED","DATA_EXPIRED","English, Spanish","ibyxS-F1jf",41
"2023-01-27T16:26:09.572000Z","2023-01-27T16:35:32.757000Z","2023-01-27T16:53:01.262000","2023-01-27T16:35:33.145485Z",564,34,"Yes",34,"Female","Mixed","United States","United States","United States","English","No","Full-Time","English","ZHRHWGC-sZ",42
"2023-01-27T16:30:13.998000Z","2023-01-27T16:39:14.846000Z","2023-01-27T16:50:55.717000","2023-01-27T16:39:15.179294Z",541,141,"Yes",22,"Female","White","United States","United States","United States","English","Yes","Part-Time","English","_-BsArO3CD",45
"2023-01-27T16:30:26.314000Z","2023-01-27T16:36:26.032000Z","2023-01-27T16:49:01.896000","2023-01-27T16:36:26.472192Z",360,100,"Yes",35,"Male","White","United States","United States","United States","English","No","Part-Time","English","6e3hvXg6GQ",43
"2023-01-27T16:30:39.029000Z","2023-01-27T16:40:11.528000Z","2023-01-27T16:53:44.863000","2023-01-27T16:40:11.992151Z",573,149,"Yes",24,"Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","audxzN6fAP",44
"2023-01-27T16:31:05.290000Z","2023-01-27T16:40:17.045000Z","2023-01-27T16:51:42.624000","2023-01-27T16:40:17.419883Z",552,68,"Yes",23,"Female","White","United States","United States","United States","English","No","Part-Time","English","hDuaBeOETx",46
"2023-01-27T16:31:48.721000Z","2023-01-27T16:44:09.578000Z","2023-01-27T16:55:11.910000","2023-01-27T16:44:09.937684Z",741,36,"Yes",29,"Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)","English","GvBrPVRWU5",47
"2023-01-27T16:32:15.115000Z","2023-01-27T16:42:47.480000Z","2023-01-27T16:54:26.167000","2023-01-27T16:42:48.110718Z",633,189,"Yes",35,"Female","White","Brazil","United States","Brazil","Portuguese","Yes","Unemployed (and job seeking)","English, Portuguese","jyFCNMnEnv",48
"2023-01-27T16:32:37.141000Z","2023-01-27T16:50:25.808000Z","2023-01-27T16:55:54.060000","2023-01-27T16:50:26.327790Z",1069,89,"Yes",39,"Male","White","United States","United States","United Kingdom","English","No","Full-Time","English","v8Aiyd929U",50
"2023-01-27T16:32:39.130000Z","2023-01-27T16:39:05.364000Z","2023-01-27T16:47:39.091000","2023-01-27T16:39:05.718816Z",387,53,"Yes",18,"Male","Black","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","h2g6kt8Wwz",49
"2023-01-27T17:15:34.110000Z","2023-01-27T17:26:22.158000Z","2023-01-27T17:32:44.202000","2023-01-27T17:26:23.287724Z",649,162,"Yes",28,"Female","Other","United States","United States","United States","Portuguese","No","Unemployed (and job seeking)","English, Portuguese","7y8af42WCn",51
"2023-01-27T17:50:14.411000Z","2023-01-27T17:57:49.935000Z","2023-01-27T18:02:03.195000","2023-01-27T17:57:50.381446Z",456,69,"Yes",23,"Male","White","United States","United States","United States","English","Yes","Unemployed (and job seeking)","English","jYILersElz",52
"2023-01-27T18:04:49.999000Z","2023-01-27T18:14:17.101000Z","2023-01-27T18:30:15.297000","2023-01-27T18:14:17.489334Z",568,163,"Yes",19,"Male","Asian","United States","United States","United States","Malayalam","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)","English, Spanish, Malayalam","e-zJmFMHm1",53
"2023-01-27T18:06:46.100000Z","2023-01-27T18:13:43.817000Z","2023-01-27T18:25:44.642000","2023-01-27T18:13:44.384038Z",418,173,"Yes",21,"Female","White","United States","United States","United States","English","Yes","Part-Time","English","LkMi3C4JzW",54
